CMDLINE python3 train.py
MEM 0.375000 1720017681.3557
MEM 15.000000 1720017681.4565
MEM 18.875000 1720017681.5577
MEM 23.273438 1720017681.6610
MEM 31.023438 1720017681.7618
MEM 43.773438 1720017681.8626
MEM 51.898438 1720017681.9634
MEM 54.523438 1720017682.0640
MEM 56.523438 1720017682.1645
MEM 61.707031 1720017682.2652
MEM 65.332031 1720017682.3660
MEM 71.207031 1720017682.4679
MEM 73.707031 1720017682.5687
MEM 75.582031 1720017682.6691
MEM 77.832031 1720017682.7699
MEM 80.457031 1720017682.8707
MEM 82.332031 1720017682.9715
MEM 84.582031 1720017683.0723
MEM 87.957031 1720017683.1731
MEM 90.421875 1720017683.2739
MEM 92.671875 1720017683.3747
MEM 94.671875 1720017683.4754
MEM 96.546875 1720017683.5762
MEM 100.796875 1720017683.6770
MEM 107.421875 1720017683.7778
MEM 111.296875 1720017683.8786
MEM 115.171875 1720017683.9794
MEM 118.796875 1720017684.0802
MEM 122.671875 1720017684.1811
MEM 125.671875 1720017684.2819
MEM 130.421875 1720017684.3827
MEM 133.796875 1720017684.4835
MEM 136.921875 1720017684.5843
MEM 139.046875 1720017684.6851
MEM 142.546875 1720017684.7859
MEM 145.421875 1720017684.8867
MEM 147.296875 1720017684.9875
MEM 148.171875 1720017685.0883
MEM 150.171875 1720017685.1891
MEM 150.671875 1720017685.2899
MEM 154.296875 1720017685.3907
MEM 164.046875 1720017685.4915
MEM 167.671875 1720017685.5924
MEM 177.671875 1720017685.6932
MEM 186.046875 1720017685.7940
MEM 190.171875 1720017685.8948
MEM 198.546875 1720017685.9958
MEM 203.296875 1720017686.0966
MEM 212.421875 1720017686.1972
MEM 227.421875 1720017686.3011
MEM 249.796875 1720017686.4031
MEM 277.046875 1720017686.5040
MEM 289.796875 1720017686.6049
MEM 292.796875 1720017686.7057
MEM 299.171875 1720017686.8065
MEM 304.671875 1720017686.9073
MEM 311.171875 1720017687.0079
MEM 316.921875 1720017687.1088
MEM 323.171875 1720017687.2091
MEM 329.296875 1720017687.3099
MEM 334.796875 1720017687.4107
MEM 339.546875 1720017687.5115
MEM 342.921875 1720017687.6124
MEM 352.796875 1720017687.7131
MEM 358.046875 1720017687.8139
MEM 364.921875 1720017687.9148
MEM 369.296875 1720017688.0155
MEM 372.296875 1720017688.1163
MEM 375.296875 1720017688.2171
MEM 378.296875 1720017688.3179
MEM 379.546875 1720017688.4188
MEM 381.046875 1720017688.5195
MEM 382.921875 1720017688.6203
MEM 385.046875 1720017688.7211
MEM 390.144531 1720017688.8219
MEM 393.519531 1720017688.9227
MEM 395.269531 1720017689.0235
MEM 395.519531 1720017689.1243
MEM 399.769531 1720017689.2251
MEM 405.019531 1720017689.3259
MEM 407.644531 1720017689.4268
MEM 409.644531 1720017689.5276
MEM 409.644531 1720017689.6284
MEM 409.644531 1720017689.7290
MEM 409.894531 1720017689.8298
MEM 412.519531 1720017689.9307
MEM 412.644531 1720017690.0315
MEM 412.769531 1720017690.1323
MEM 413.144531 1720017690.2332
MEM 414.019531 1720017690.3339
MEM 417.394531 1720017690.4348
MEM 419.519531 1720017690.5355
MEM 422.019531 1720017690.6363
MEM 424.394531 1720017690.7372
MEM 426.894531 1720017690.8379
MEM 429.394531 1720017690.9387
MEM 432.519531 1720017691.0395
MEM 435.519531 1720017691.1403
MEM 439.144531 1720017691.2411
MEM 441.394531 1720017691.3419
MEM 444.269531 1720017691.4427
MEM 447.019531 1720017691.5434
MEM 449.894531 1720017691.6444
MEM 452.394531 1720017691.7451
MEM 455.519531 1720017691.8459
MEM 458.394531 1720017691.9467
MEM 461.894531 1720017692.0476
MEM 465.519531 1720017692.1484
MEM 469.394531 1720017692.2491
MEM 472.394531 1720017692.3499
MEM 473.894531 1720017692.4507
MEM 475.894531 1720017692.5515
MEM 477.894531 1720017692.6523
MEM 481.269531 1720017692.7531
MEM 482.769531 1720017692.8539
MEM 485.019531 1720017692.9547
MEM 486.019531 1720017693.0554
MEM 486.269531 1720017693.1562
MEM 487.269531 1720017693.2571
MEM 488.769531 1720017693.3579
MEM 489.519531 1720017693.4587
MEM 509.769531 1720017693.5595
MEM 545.769531 1720017693.6604
MEM 580.269531 1720017693.7612
MEM 615.019531 1720017693.8620
MEM 650.394531 1720017693.9628
MEM 681.769531 1720017694.0636
MEM 708.269531 1720017694.1642
MEM 732.644531 1720017694.2650
MEM 762.769531 1720017694.3659
MEM 796.019531 1720017694.4667
MEM 831.269531 1720017694.5675
MEM 858.519531 1720017694.6683
MEM 884.519531 1720017694.7691
MEM 909.519531 1720017694.8699
MEM 936.769531 1720017694.9707
MEM 961.144531 1720017695.0721
MEM 978.769531 1720017695.1732
MEM 998.519531 1720017695.2741
MEM 753.628906 1720017695.3750
MEM 758.742188 1720017695.4758
MEM 758.867188 1720017695.5765
MEM 768.242188 1720017695.6775
MEM 775.367188 1720017695.7783
MEM 776.242188 1720017695.8791
MEM 776.492188 1720017695.9799
MEM 776.992188 1720017696.0808
MEM 778.117188 1720017696.1811
MEM 783.242188 1720017696.2822
MEM 786.117188 1720017696.3829
MEM 788.117188 1720017696.4837
MEM 789.617188 1720017696.5846
MEM 789.617188 1720017696.6851
MEM 791.867188 1720017696.7860
MEM 793.742188 1720017696.8868
MEM 793.867188 1720017696.9876
MEM 793.867188 1720017697.0884
MEM 795.117188 1720017697.1891
MEM 827.757812 1720017697.2899
MEM 824.066406 1720017697.3907
MEM 834.066406 1720017697.4915
MEM 845.941406 1720017697.5924
MEM 846.191406 1720017697.6931
MEM 846.191406 1720017697.7939
MEM 848.066406 1720017697.8946
MEM 849.066406 1720017697.9955
MEM 849.191406 1720017698.0962
MEM 849.691406 1720017698.1971
MEM 850.191406 1720017698.2979
MEM 851.316406 1720017698.3987
MEM 853.066406 1720017698.4995
MEM 853.191406 1720017698.6004
MEM 853.316406 1720017698.7013
MEM 853.316406 1720017698.8021
MEM 855.691406 1720017698.9029
MEM 855.691406 1720017699.0040
MEM 858.066406 1720017699.1048
MEM 860.441406 1720017699.2057
MEM 860.441406 1720017699.3065
MEM 860.441406 1720017699.4074
MEM 860.441406 1720017699.5082
MEM 860.441406 1720017699.6091
MEM 860.566406 1720017699.7099
MEM 860.566406 1720017699.8109
MEM 860.566406 1720017699.9117
MEM 860.566406 1720017700.0125
MEM 860.566406 1720017700.1131
MEM 860.566406 1720017700.2161
MEM 860.566406 1720017700.3198
MEM 860.816406 1720017700.4207
MEM 865.816406 1720017700.5213
MEM 866.441406 1720017700.6220
MEM 872.316406 1720017700.7228
MEM 876.191406 1720017700.8251
MEM 879.316406 1720017700.9319
MEM 881.691406 1720017701.0327
MEM 884.316406 1720017701.1331
MEM 886.316406 1720017701.2340
MEM 887.691406 1720017701.3347
MEM 1039.191406 1720017701.4356
MEM 1066.816406 1720017701.5372
MEM 1066.816406 1720017701.6407
MEM 1084.941406 1720017701.7451
MEM 1042.035156 1720017701.8459
MEM 977.378906 1720017701.9469
MEM 978.628906 1720017702.0477
MEM 981.003906 1720017702.1485
MEM 982.378906 1720017702.2491
MEM 986.503906 1720017702.3499
MEM 986.878906 1720017702.4507
MEM 987.753906 1720017702.5516
MEM 988.878906 1720017702.6524
MEM 993.003906 1720017702.7532
MEM 998.378906 1720017702.8540
MEM 1002.878906 1720017702.9548
MEM 1005.878906 1720017703.0557
MEM 1006.878906 1720017703.1565
MEM 1008.378906 1720017703.2573
MEM 1018.753906 1720017703.3601
MEM 1021.378906 1720017703.4610
MEM 1025.503906 1720017703.5618
MEM 1029.128906 1720017703.6651
MEM 1032.753906 1720017703.7691
MEM 1040.378906 1720017703.8699
MEM 1040.378906 1720017703.9708
MEM 1040.878906 1720017704.0716
MEM 1062.628906 1720017704.1726
MEM 1059.316406 1720017704.2732
MEM 1059.441406 1720017704.3740
MEM 1060.066406 1720017704.4748
MEM 1061.066406 1720017704.5757
MEM 1062.566406 1720017704.6765
MEM 1085.191406 1720017704.7772
MEM 1095.566406 1720017704.8784
MEM 1116.816406 1720017704.9792
MEM 1133.691406 1720017705.0811
MEM 1146.191406 1720017705.1820
MEM 1165.941406 1720017705.2892
MEM 1175.441406 1720017705.3907
MEM 1191.191406 1720017705.4976
MEM 1204.691406 1720017705.5985
MEM 1220.441406 1720017705.6997
MEM 1234.066406 1720017705.8051
MEM 1252.691406 1720017705.9091
MEM 1263.441406 1720017706.0105
MEM 1292.691406 1720017706.1121
MEM 1301.191406 1720017706.2130
MEM 1321.941406 1720017706.3137
MEM 1340.316406 1720017706.4171
MEM 1351.441406 1720017706.5179
MEM 1380.691406 1720017706.6193
MEM 1396.441406 1720017706.7207
MEM 1409.941406 1720017706.8211
MEM 1410.191406 1720017706.9220
MEM 1410.566406 1720017707.0229
MEM 1410.691406 1720017707.1237
MEM 1410.816406 1720017707.2246
MEM 1413.941406 1720017707.3257
MEM 1436.941406 1720017707.4267
MEM 1462.941406 1720017707.5292
MEM 1493.191406 1720017707.6301
MEM 1525.941406 1720017707.7309
MEM 1557.191406 1720017707.8317
MEM 1591.941406 1720017707.9326
MEM 1622.191406 1720017708.0331
MEM 1654.816406 1720017708.1339
MEM 1685.941406 1720017708.2348
MEM 1717.941406 1720017708.3357
MEM 1749.941406 1720017708.4366
MEM 1786.066406 1720017708.5371
MEM 1893.066406 1720017708.6379
MEM 1969.785156 1720017708.7387
MEM 2014.246094 1720017708.8413
MEM 2111.746094 1720017708.9424
MEM 2210.246094 1720017709.0436
MEM 1926.109375 1720017709.1444
MEM 1871.281250 1720017709.2451
MEM 1938.656250 1720017709.3459
MEM 1955.531250 1720017709.4468
MEM 2019.781250 1720017709.5487
MEM 2090.156250 1720017709.6492
MEM 2157.031250 1720017709.7500
MEM 2229.031250 1720017709.8533
MEM 2079.460938 1720017709.9540
MEM 2079.460938 1720017710.0548
MEM 2081.339844 1720017710.1556
MEM 2081.464844 1720017710.2563
MEM 2081.589844 1720017710.3571
MEM 2081.589844 1720017710.4575
MEM 2104.464844 1720017710.5621
MEM 2185.214844 1720017710.6651
MEM 2273.464844 1720017710.7660
MEM 2362.839844 1720017710.8691
MEM 2465.464844 1720017710.9699
MEM 2609.964844 1720017711.0731
MEM 2749.464844 1720017711.1773
MEM 2664.164062 1720017711.2781
MEM 2818.593750 1720017711.3811
MEM 2698.410156 1720017711.4820
MEM 2657.839844 1720017711.5826
MEM 2826.964844 1720017711.6854
MEM 2878.214844 1720017711.7891
MEM 3032.089844 1720017711.8932
MEM 3144.714844 1720017712.0001
MEM 3041.800781 1720017712.1010
MEM 3201.300781 1720017712.2052
MEM 2657.921875 1720017712.3061
MEM 2273.914062 1720017712.4070
MEM 2277.414062 1720017712.5077
MEM 2277.414062 1720017712.6091
MEM 2277.414062 1720017712.7102
MEM 2277.414062 1720017712.8112
MEM 2277.414062 1720017712.9171
MEM 2277.414062 1720017713.0184
MEM 2277.414062 1720017713.1240
MEM 2277.414062 1720017713.2291
MEM 2277.414062 1720017713.3331
MEM 2277.414062 1720017713.4371
MEM 2277.414062 1720017713.5383
MEM 2277.414062 1720017713.6411
MEM 2277.414062 1720017713.7491
MEM 2277.414062 1720017713.8531
