CMDLINE python3 train.py
MEM 3622.019531 1720019041.1595
MEM 3667.769531 1720019041.2612
MEM 3724.894531 1720019041.3651
MEM 3774.894531 1720019041.4689
MEM 3829.519531 1720019041.5718
MEM 3871.019531 1720019041.6758
MEM 3793.164062 1720019041.7767
MEM 3565.308594 1720019041.8773
MEM 3784.683594 1720019041.9781
MEM 3946.058594 1720019042.0812
MEM 3994.058594 1720019042.1851
MEM 4037.058594 1720019042.2891
MEM 4109.183594 1720019042.3905
MEM 4199.808594 1720019042.4914
MEM 3565.898438 1720019042.5922
MEM 3442.027344 1720019042.6931
MEM 3442.027344 1720019042.7971
MEM 3442.027344 1720019042.8980
MEM 3603.152344 1720019043.0053
MEM 3688.902344 1720019043.1080
MEM 3760.902344 1720019043.2089
MEM 3829.902344 1720019043.3131
MEM 3898.402344 1720019043.4171
MEM 3968.027344 1720019043.5212
MEM 4069.902344 1720019043.6223
MEM 4208.277344 1720019043.7254
MEM 4252.277344 1720019043.8292
MEM 4315.777344 1720019043.9301
MEM 4371.527344 1720019044.0331
MEM 4447.777344 1720019044.1371
MEM 4527.902344 1720019044.2480
MEM 4610.652344 1720019044.3490
MEM 4666.152344 1720019044.4531
MEM 4708.277344 1720019044.5552
MEM 4754.277344 1720019044.6561
MEM 4809.152344 1720019044.7618
MEM 4897.652344 1720019044.8706
MEM 4930.777344 1720019045.0504
MEM 4482.601562 1720019045.1772
MEM 4166.527344 1720019045.2796
MEM 4170.027344 1720019045.3804
MEM 4175.402344 1720019045.4811
MEM 4182.027344 1720019045.5819
MEM 4190.027344 1720019045.6828
MEM 4197.777344 1720019045.7836
MEM 4207.277344 1720019045.8975
MEM 4234.652344 1720019046.0011
MEM 4251.152344 1720019046.1089
MEM 4337.277344 1720019046.2131
MEM 4541.402344 1720019046.3143
MEM 4751.777344 1720019046.4152
MEM 4854.027344 1720019046.5172
MEM 4895.777344 1720019046.6241
MEM 4924.277344 1720019046.7252
MEM 4629.734375 1720019046.8330
MEM 4013.472656 1720019046.9343
MEM 3359.031250 1720019047.0351
MEM 3210.785156 1720019047.1359
MEM 3213.535156 1720019047.2440
MEM 3214.535156 1720019047.3448
MEM 3218.035156 1720019047.4451
MEM 3230.035156 1720019047.5460
MEM 3318.535156 1720019047.6491
MEM 3546.660156 1720019047.7531
MEM 3762.660156 1720019047.8571
MEM 3963.785156 1720019047.9601
MEM 3474.425781 1720019048.0609
MEM 3237.656250 1720019048.1618
MEM 3336.156250 1720019048.2652
MEM 3433.656250 1720019048.3692
MEM 3454.531250 1720019048.4731
MEM 3475.781250 1720019048.5773
MEM 3496.531250 1720019048.6811
MEM 3516.906250 1720019048.7851
MEM 3537.281250 1720019048.8891
MEM 3558.281250 1720019048.9931
MEM 3579.281250 1720019049.0971
MEM 3600.406250 1720019049.2011
MEM 3618.656250 1720019049.3022
MEM 3622.031250 1720019049.4033
MEM 3487.371094 1720019049.5041
MEM 3601.996094 1720019049.6056
MEM 3048.894531 1720019049.7064
MEM 2326.531250 1720019049.8073
MEM 2279.425781 1720019049.9091
MEM 2279.425781 1720019050.0133
MEM 2279.425781 1720019050.1171
MEM 2279.425781 1720019050.2211
MEM 2279.425781 1720019050.3251
MEM 2279.425781 1720019050.4291
MEM 2279.425781 1720019050.5300
MEM 2279.425781 1720019050.6331
MEM 2279.425781 1720019050.7371
MEM 2279.425781 1720019050.8411
MEM 2279.425781 1720019050.9451
MEM 2279.425781 1720019051.0491
MEM 2279.425781 1720019051.1531
MEM 2279.425781 1720019051.2571
MEM 2279.425781 1720019051.3598
MEM 2279.425781 1720019051.4612
MEM 2279.425781 1720019051.5651
MEM 2279.425781 1720019051.6691
MEM 2279.425781 1720019051.7704
MEM 2279.425781 1720019051.8731
MEM 2279.425781 1720019051.9755
MEM 2319.300781 1720019052.0771
MEM 2471.425781 1720019052.1812
MEM 2644.300781 1720019052.2851
MEM 2512.187500 1720019052.3891
MEM 2654.187500 1720019052.4901
MEM 2854.812500 1720019052.5931
MEM 3036.562500 1720019052.6940
MEM 2940.660156 1720019052.7973
MEM 2830.218750 1720019052.8980
MEM 2279.644531 1720019052.9989
MEM 2313.144531 1720019053.1011
MEM 2347.644531 1720019053.2035
MEM 2380.644531 1720019053.3051
MEM 2416.144531 1720019053.4092
MEM 2451.144531 1720019053.5133
MEM 2485.644531 1720019053.6171
MEM 2520.144531 1720019053.7211
MEM 2553.144531 1720019053.8234
MEM 2587.644531 1720019053.9251
MEM 2620.644531 1720019054.0291
MEM 2656.644531 1720019054.1332
MEM 2691.144531 1720019054.2340
MEM 2724.644531 1720019054.3371
MEM 2758.644531 1720019054.4411
MEM 2794.644531 1720019054.5451
MEM 2828.019531 1720019054.6492
MEM 2862.144531 1720019054.7514
MEM 2895.144531 1720019054.8532
MEM 2926.644531 1720019054.9549
MEM 2960.644531 1720019055.0571
MEM 2994.144531 1720019055.1597
MEM 3024.144531 1720019055.2674
MEM 3034.644531 1720019055.3691
MEM 3052.644531 1720019055.4794
MEM 3052.644531 1720019055.5811
MEM 3052.644531 1720019055.6835
MEM 3052.644531 1720019055.7851
MEM 3052.644531 1720019055.8882
MEM 3052.644531 1720019055.9893
MEM 3052.644531 1720019056.0930
MEM 3052.644531 1720019056.1971
MEM 3052.644531 1720019056.3011
MEM 3052.644531 1720019056.4051
MEM 3052.644531 1720019056.5091
MEM 3052.644531 1720019056.6114
MEM 3052.644531 1720019056.7131
MEM 3052.644531 1720019056.8155
MEM 3052.644531 1720019056.9171
MEM 3052.644531 1720019057.0195
MEM 3052.644531 1720019057.1211
MEM 3052.644531 1720019057.2251
MEM 3052.644531 1720019057.3291
MEM 3052.644531 1720019057.4337
MEM 3052.644531 1720019057.5371
MEM 3052.644531 1720019057.6413
MEM 3052.644531 1720019057.7430
MEM 3052.644531 1720019057.8491
MEM 3052.644531 1720019057.9531
MEM 3052.644531 1720019058.0555
MEM 3052.644531 1720019058.1571
MEM 3052.644531 1720019058.2613
MEM 3052.644531 1720019058.3651
MEM 3052.644531 1720019058.4660
MEM 3052.644531 1720019058.5691
MEM 3052.644531 1720019058.6715
MEM 3052.644531 1720019058.7731
MEM 3052.644531 1720019058.8736
MEM 3052.644531 1720019058.9771
MEM 3052.644531 1720019059.0795
MEM 3052.644531 1720019059.1803
MEM 3052.644531 1720019059.2812
MEM 3052.644531 1720019059.3851
MEM 3052.644531 1720019059.4891
MEM 3052.644531 1720019059.5931
MEM 3052.644531 1720019059.6971
MEM 3052.644531 1720019059.8011
MEM 3052.644531 1720019059.9051
MEM 3052.644531 1720019060.0059
MEM 3052.644531 1720019060.1092
MEM 3052.644531 1720019060.2117
MEM 3052.644531 1720019060.3131
MEM 3052.644531 1720019060.4171
MEM 3052.644531 1720019060.5211
MEM 3052.644531 1720019060.6251
MEM 3052.644531 1720019060.7291
MEM 3052.644531 1720019060.8331
MEM 3052.644531 1720019060.9346
MEM 3052.644531 1720019061.0371
MEM 3052.644531 1720019061.1395
MEM 3052.644531 1720019061.2411
MEM 3052.644531 1720019061.3451
MEM 3052.644531 1720019061.4475
MEM 3052.644531 1720019061.5483
MEM 3052.644531 1720019061.6531
MEM 3052.644531 1720019061.7571
MEM 3052.644531 1720019061.8579
MEM 3148.769531 1720019061.9611
MEM 3368.769531 1720019062.0639
MEM 3581.769531 1720019062.1647
MEM 3813.019531 1720019062.2761
MEM 3290.558594 1720019062.3772
MEM 3121.398438 1720019062.4811
MEM 3337.273438 1720019062.5851
MEM 3550.273438 1720019062.6885
MEM 3766.773438 1720019062.7931
MEM 3865.273438 1720019062.8971
MEM 4011.523438 1720019062.9995
MEM 4167.648438 1720019063.1011
MEM 4327.648438 1720019063.2051
MEM 4477.648438 1720019063.3076
MEM 4534.472656 1720019063.4083
MEM 3832.253906 1720019063.5091
MEM 3975.156250 1720019063.6117
MEM 4197.156250 1720019063.7131
MEM 4415.156250 1720019063.8156
MEM 4512.437500 1720019063.9164
MEM 3821.878906 1720019064.0171
MEM 3991.253906 1720019064.1212
MEM 4203.878906 1720019064.2251
MEM 4401.753906 1720019064.3277
MEM 4589.753906 1720019064.4285
MEM 3870.082031 1720019064.5291
MEM 3959.851562 1720019064.6300
MEM 4179.101562 1720019064.7332
MEM 4397.351562 1720019064.8371
MEM 4588.601562 1720019064.9380
MEM 3832.289062 1720019065.0388
MEM 3924.566406 1720019065.1396
MEM 4049.691406 1720019065.2404
MEM 4173.691406 1720019065.3412
MEM 4296.941406 1720019065.4420
MEM 4422.066406 1720019065.5426
MEM 4547.566406 1720019065.6434
MEM 4134.515625 1720019065.7442
MEM 3405.238281 1720019065.8448
MEM 3053.945312 1720019065.9452
MEM 3053.945312 1720019066.0491
MEM 3053.945312 1720019066.1531
MEM 3053.945312 1720019066.2571
MEM 3053.945312 1720019066.3592
MEM 3053.945312 1720019066.4612
MEM 3053.945312 1720019066.5620
MEM 3053.945312 1720019066.6628
MEM 3053.945312 1720019066.7651
MEM 3053.945312 1720019066.8691
MEM 3053.945312 1720019066.9731
MEM 3053.945312 1720019067.0771
MEM 3053.945312 1720019067.1811
MEM 3053.945312 1720019067.2832
MEM 3053.945312 1720019067.3851
MEM 3053.945312 1720019067.4859
MEM 3053.945312 1720019067.5868
MEM 3053.945312 1720019067.6876
MEM 3053.945312 1720019067.7884
MEM 3053.945312 1720019067.8891
MEM 3053.945312 1720019067.9900
MEM 3053.945312 1720019068.0931
MEM 3053.945312 1720019068.1971
MEM 3053.945312 1720019068.3011
MEM 3053.945312 1720019068.4051
MEM 3053.945312 1720019068.5092
MEM 3053.945312 1720019068.6131
MEM 3053.945312 1720019068.7171
MEM 3053.945312 1720019068.8211
MEM 3053.945312 1720019068.9251
MEM 3053.945312 1720019069.0292
MEM 3053.945312 1720019069.1331
MEM 3053.945312 1720019069.2371
MEM 3053.945312 1720019069.3411
MEM 3053.945312 1720019069.4451
MEM 3053.945312 1720019069.5493
MEM 3053.945312 1720019069.6531
MEM 3053.945312 1720019069.7571
MEM 3053.945312 1720019069.8652
MEM 3053.945312 1720019069.9691
MEM 3053.945312 1720019070.0731
MEM 3053.945312 1720019070.1758
MEM 3053.945312 1720019070.2772
MEM 3053.945312 1720019070.3780
MEM 3053.945312 1720019070.4811
MEM 3053.945312 1720019070.5856
MEM 3053.945312 1720019070.6885
MEM 3053.945312 1720019070.7895
MEM 3053.945312 1720019070.8924
MEM 3053.945312 1720019070.9935
MEM 3053.945312 1720019071.0971
MEM 3053.945312 1720019071.1987
MEM 3053.945312 1720019071.3011
MEM 3053.945312 1720019071.4051
MEM 3053.945312 1720019071.5091
MEM 3053.945312 1720019071.6131
MEM 3053.945312 1720019071.7171
MEM 3053.945312 1720019071.8211
MEM 3053.945312 1720019071.9251
MEM 3053.945312 1720019072.0292
MEM 3053.945312 1720019072.1304
MEM 3053.945312 1720019072.2331
MEM 3053.945312 1720019072.3371
MEM 3053.945312 1720019072.4411
MEM 3053.945312 1720019072.5451
MEM 3053.945312 1720019072.6491
MEM 3053.945312 1720019072.7531
MEM 3053.945312 1720019072.8571
MEM 3053.945312 1720019072.9596
MEM 3053.945312 1720019073.0604
MEM 3053.945312 1720019073.1612
MEM 3053.945312 1720019073.2635
MEM 3053.945312 1720019073.3643
MEM 3053.945312 1720019073.4652
MEM 3053.945312 1720019073.5691
MEM 3053.945312 1720019073.6731
MEM 3053.945312 1720019073.7771
MEM 3053.945312 1720019073.8811
MEM 3053.945312 1720019073.9855
MEM 3053.945312 1720019074.0891
MEM 3053.945312 1720019074.1923
MEM 3053.945312 1720019074.2955
MEM 3053.945312 1720019074.3963
MEM 3053.945312 1720019074.4971
MEM 3053.945312 1720019074.6011
MEM 3053.945312 1720019074.7051
MEM 3053.945312 1720019074.8077
MEM 3053.945312 1720019074.9091
MEM 3053.945312 1720019075.0100
MEM 3053.945312 1720019075.1131
MEM 3053.945312 1720019075.2151
MEM 3110.320312 1720019075.3171
MEM 3261.070312 1720019075.4211
MEM 3432.515625 1720019075.5219
MEM 3416.199219 1720019075.6251
MEM 3638.949219 1720019075.7293
MEM 3784.066406 1720019075.8302
MEM 3789.945312 1720019075.9332
MEM 3220.488281 1720019076.0339
MEM 2477.929688 1720019076.1347
MEM 2286.050781 1720019076.2371
MEM 2286.050781 1720019076.3411
MEM 2286.050781 1720019076.4451
MEM 2286.050781 1720019076.5491
MEM 2286.050781 1720019076.6531
MEM 2286.050781 1720019076.7571
MEM 2286.050781 1720019076.8611
MEM 2286.050781 1720019076.9652
MEM 2286.050781 1720019077.0691
MEM 2286.050781 1720019077.1731
MEM 2286.050781 1720019077.2772
MEM 2286.050781 1720019077.3812
MEM 2286.050781 1720019077.4820
MEM 2286.050781 1720019077.5851
MEM 2286.050781 1720019077.6875
MEM 2286.050781 1720019077.7891
MEM 2286.050781 1720019077.8921
MEM 2286.050781 1720019077.9932
MEM 2286.050781 1720019078.0945
MEM 2286.050781 1720019078.1971
MEM 2286.050781 1720019078.3011
MEM 2286.050781 1720019078.4020
MEM 2471.925781 1720019078.5028
MEM 2478.050781 1720019078.6051
MEM 2478.050781 1720019078.7088
MEM 2478.050781 1720019078.8092
MEM 2478.050781 1720019078.9131
MEM 2478.050781 1720019079.0155
MEM 2478.050781 1720019079.1171
MEM 2478.050781 1720019079.2211
MEM 2478.050781 1720019079.3251
MEM 2478.050781 1720019079.4291
MEM 2478.050781 1720019079.5332
MEM 2478.050781 1720019079.6371
MEM 2478.050781 1720019079.7411
MEM 2478.050781 1720019079.8451
MEM 2478.050781 1720019079.9492
MEM 2478.050781 1720019080.0531
MEM 2478.050781 1720019080.1575
MEM 2478.050781 1720019080.2619
MEM 2478.050781 1720019080.3652
