CMDLINE python3 scripts/generate_text.py
MEM 0.250000 1719630647.6694
MEM 14.500000 1719630647.7703
MEM 21.750000 1719630647.8711
MEM 29.843750 1719630647.9719
MEM 43.468750 1719630648.0727
MEM 52.093750 1719630648.1735
MEM 60.718750 1719630648.2744
MEM 70.968750 1719630648.3753
MEM 75.093750 1719630648.4765
MEM 82.449219 1719630648.5773
MEM 87.699219 1719630648.6781
MEM 93.199219 1719630648.7825
MEM 95.699219 1719630648.8854
MEM 98.574219 1719630648.9865
MEM 100.949219 1719630649.0873
MEM 103.574219 1719630649.1881
MEM 106.324219 1719630649.2884
MEM 109.324219 1719630649.3893
MEM 111.648438 1719630649.4902
MEM 113.898438 1719630649.5905
MEM 124.148438 1719630649.6913
MEM 133.773438 1719630649.7921
MEM 140.273438 1719630649.8928
MEM 147.648438 1719630649.9936
MEM 152.523438 1719630650.0944
MEM 159.023438 1719630650.1952
MEM 163.398438 1719630650.2961
MEM 167.523438 1719630650.3969
MEM 172.523438 1719630650.4977
MEM 175.148438 1719630650.5985
MEM 180.273438 1719630650.6993
MEM 183.773438 1719630650.8001
MEM 187.773438 1719630650.9009
MEM 191.523438 1719630651.0017
MEM 194.398438 1719630651.1025
MEM 196.398438 1719630651.2033
MEM 200.523438 1719630651.3041
MEM 203.273438 1719630651.4049
MEM 204.023438 1719630651.5057
MEM 205.023438 1719630651.6065
MEM 207.398438 1719630651.7073
MEM 215.773438 1719630651.8081
MEM 225.773438 1719630651.9089
MEM 240.148438 1719630652.0097
MEM 249.773438 1719630652.1105
MEM 259.148438 1719630652.2114
MEM 266.023438 1719630652.3122
MEM 295.023438 1719630652.4130
MEM 339.398438 1719630652.5138
MEM 359.648438 1719630652.6145
MEM 368.898438 1719630652.7154
MEM 376.773438 1719630652.8163
MEM 384.773438 1719630652.9171
MEM 392.773438 1719630653.0180
MEM 401.148438 1719630653.1185
MEM 408.398438 1719630653.2194
MEM 416.898438 1719630653.3203
MEM 426.523438 1719630653.4211
MEM 442.773438 1719630653.5218
MEM 453.273438 1719630653.6225
MEM 464.089844 1719630653.7236
MEM 469.214844 1719630653.8244
MEM 472.339844 1719630653.9251
MEM 475.464844 1719630654.0259
MEM 478.089844 1719630654.1265
MEM 480.464844 1719630654.2276
MEM 481.089844 1719630654.3289
MEM 483.214844 1719630654.4298
MEM 486.839844 1719630654.5305
MEM 489.089844 1719630654.6314
MEM 489.339844 1719630654.7322
MEM 491.589844 1719630654.8330
MEM 496.964844 1719630654.9345
MEM 500.214844 1719630655.0356
MEM 501.589844 1719630655.1364
MEM 503.589844 1719630655.2372
MEM 507.214844 1719630655.3380
MEM 508.589844 1719630655.4385
MEM 514.839844 1719630655.5393
MEM 528.464844 1719630655.6401
MEM 541.964844 1719630655.7409
MEM 553.089844 1719630655.8418
MEM 558.089844 1719630655.9426
MEM 566.472656 1719630656.0435
MEM 696.222656 1719630656.1444
MEM 696.789062 1719630656.2452
MEM 698.414062 1719630656.3461
MEM 699.039062 1719630656.4470
MEM 702.539062 1719630656.5479
MEM 704.164062 1719630656.6487
MEM 721.289062 1719630656.7506
MEM 954.914062 1719630656.8547
MEM 1137.539062 1719630656.9556
MEM 1264.789062 1719630657.0564
MEM 1391.539062 1719630657.1573
MEM 1486.039062 1719630657.2586
MEM 1486.039062 1719630657.3626
MEM 1486.039062 1719630657.4666
MEM 1486.039062 1719630657.5706
MEM 1486.039062 1719630657.6746
MEM 1486.039062 1719630657.7756
MEM 1486.039062 1719630657.8786
MEM 1486.039062 1719630657.9796
MEM 1486.039062 1719630658.0826
MEM 1492.039062 1719630658.1866
MEM 1512.789062 1719630658.2905
MEM 1537.289062 1719630658.3985
MEM 1560.664062 1719630658.5013
MEM 1582.664062 1719630658.6027
MEM 1605.539062 1719630658.7038
MEM 1626.914062 1719630658.8046
MEM 1658.789062 1719630658.9054
MEM 1454.167969 1719630659.0063
MEM 1124.148438 1719630659.1112
MEM 1255.023438 1719630659.2127
MEM 1451.023438 1719630659.3146
MEM 1612.398438 1719630659.4181
MEM 1813.648438 1719630659.5187
MEM 1417.644531 1719630659.6195
MEM 1096.269531 1719630659.7226
MEM 1107.894531 1719630659.8235
MEM 1118.144531 1719630659.9246
MEM 1121.269531 1719630660.0255
MEM 1121.269531 1719630660.1264
MEM 1139.144531 1719630660.2283
MEM 1147.644531 1719630660.3292
MEM 1147.644531 1719630660.4301
MEM 1147.644531 1719630660.5310
MEM 1243.644531 1719630660.6346
MEM 1243.644531 1719630660.7355
MEM 1263.769531 1719630660.8363
MEM 1255.316406 1719630660.9386
MEM 1207.960938 1719630661.0428
MEM 1228.960938 1719630661.1465
MEM 1228.960938 1719630661.2506
MEM 1228.960938 1719630661.3546
MEM 1228.960938 1719630661.4586
MEM 1228.960938 1719630661.5626
MEM 1228.960938 1719630661.6665
MEM 1228.960938 1719630661.7674
MEM 1245.085938 1719630661.8678
MEM 1245.335938 1719630661.9686
MEM 1247.960938 1719630662.0695
MEM 1279.835938 1719630662.1704
MEM 1284.710938 1719630662.2713
MEM 1316.710938 1719630662.3736
MEM 1316.710938 1719630662.4745
MEM 1316.710938 1719630662.5759
MEM 1316.835938 1719630662.6796
MEM 1378.960938 1719630662.7804
MEM 1445.460938 1719630662.8825
MEM 1541.460938 1719630662.9866
MEM 1514.527344 1719630663.0906
MEM 1453.695312 1719630663.1915
MEM 1496.945312 1719630663.2946
MEM 1621.695312 1719630663.3985
MEM 1581.859375 1719630663.4994
MEM 1660.484375 1719630663.6026
MEM 1453.906250 1719630663.7034
MEM 1469.281250 1719630663.8053
MEM 1506.781250 1719630663.9109
MEM 1543.156250 1719630664.0150
MEM 1576.656250 1719630664.1163
MEM 1585.656250 1719630664.2186
MEM 1589.406250 1719630664.3225
MEM 1575.652344 1719630664.4265
MEM 1303.679688 1719630664.5283
MEM 1304.054688 1719630664.6292
MEM 1304.054688 1719630664.7301
MEM 1304.054688 1719630664.8306
MEM 1418.054688 1719630664.9314
MEM 1432.054688 1719630665.0334
MEM 1440.679688 1719630665.1345
MEM 1426.253906 1719630665.2353
MEM 1463.632812 1719630665.3386
MEM 1386.039062 1719630665.4425
MEM 1406.664062 1719630665.5465
MEM 1406.664062 1719630665.6505
MEM 1406.664062 1719630665.7545
MEM 1406.664062 1719630665.8586
MEM 1406.664062 1719630665.9594
MEM 1406.664062 1719630666.0602
MEM 1406.664062 1719630666.1625
MEM 1406.664062 1719630666.2707
MEM 1406.664062 1719630666.3715
MEM 1438.664062 1719630666.4724
MEM 1438.761719 1719630666.5733
MEM 1438.832031 1719630666.6741
MEM 1455.445312 1719630666.7786
MEM 1407.144531 1719630666.8794
MEM 1407.144531 1719630666.9803
MEM 1407.144531 1719630667.0812
MEM 1477.894531 1719630667.1820
MEM 1535.144531 1719630667.2844
MEM 1536.519531 1719630667.3865
MEM 1560.269531 1719630667.4936
MEM 1535.250000 1719630667.5945
MEM 1471.773438 1719630667.6985
MEM 1471.773438 1719630667.8010
MEM 1471.773438 1719630667.9027
MEM 1471.773438 1719630668.0035
MEM 1471.773438 1719630668.1065
MEM 1471.773438 1719630668.2105
MEM 1471.773438 1719630668.3145
MEM 1471.773438 1719630668.4176
MEM 1471.773438 1719630668.5225
MEM 1471.773438 1719630668.6266
MEM 1471.773438 1719630668.7274
MEM 1481.843750 1719630668.8283
MEM 1544.843750 1719630668.9291
MEM 1547.343750 1719630669.0305
MEM 1518.089844 1719630669.1346
MEM 1503.082031 1719630669.2385
MEM 1507.582031 1719630669.3425
MEM 1507.582031 1719630669.4465
MEM 1507.582031 1719630669.5479
MEM 1507.582031 1719630669.6488
MEM 1507.582031 1719630669.7506
MEM 1507.582031 1719630669.8546
MEM 1507.582031 1719630669.9560
MEM 1559.832031 1719630670.0569
MEM 1559.832031 1719630670.1578
MEM 1559.832031 1719630670.2592
MEM 1629.457031 1719630670.3625
MEM 1745.957031 1719630670.4673
MEM 1787.984375 1719630670.5707
MEM 1775.730469 1719630670.6746
MEM 1932.105469 1719630670.7768
MEM 1906.269531 1719630670.8786
MEM 1713.519531 1719630670.9829
MEM 1750.894531 1719630671.0869
MEM 1788.644531 1719630671.1909
MEM 1815.894531 1719630671.2953
MEM 1819.894531 1719630671.3986
MEM 1823.644531 1719630671.5014
MEM 1622.285156 1719630671.6026
MEM 1687.910156 1719630671.7037
MEM 1687.910156 1719630671.8066
MEM 1710.285156 1719630671.9105
MEM 1741.558594 1719630672.0146
MEM 1653.425781 1719630672.1176
MEM 1662.050781 1719630672.2186
MEM 1662.050781 1719630672.3228
MEM 1662.050781 1719630672.4265
MEM 1662.050781 1719630672.5306
MEM 1662.050781 1719630672.6341
MEM 1662.050781 1719630672.7364
MEM 1662.050781 1719630672.8385
MEM 1662.050781 1719630672.9426
MEM 1677.800781 1719630673.0466
MEM 1726.050781 1719630673.1499
MEM 1672.171875 1719630673.2547
MEM 1790.046875 1719630673.3557
MEM 1790.046875 1719630673.4567
MEM 1807.171875 1719630673.5585
MEM 1788.667969 1719630673.6594
MEM 1726.113281 1719630673.7625
MEM 1726.113281 1719630673.8665
MEM 1726.113281 1719630673.9707
MEM 1726.113281 1719630674.0745
MEM 1726.113281 1719630674.1785
MEM 1726.113281 1719630674.2825
MEM 1726.113281 1719630674.3865
MEM 1726.113281 1719630674.4905
MEM 1726.113281 1719630674.5945
MEM 1726.113281 1719630674.6954
MEM 1765.984375 1719630674.7986
MEM 1765.984375 1719630674.9026
MEM 1707.023438 1719630675.0034
MEM 1742.031250 1719630675.1065
MEM 1742.031250 1719630675.2074
