CMDLINE python3 scripts/generate_text.py
MEM 0.500000 1719631406.9441
MEM 13.750000 1719631407.0452
MEM 20.125000 1719631407.1461
MEM 24.117188 1719631407.2465
MEM 32.992188 1719631407.3473
MEM 45.492188 1719631407.4481
MEM 53.492188 1719631407.5490
MEM 61.492188 1719631407.6498
MEM 70.992188 1719631407.7505
MEM 74.617188 1719631407.8513
MEM 80.738281 1719631407.9521
MEM 84.613281 1719631408.0545
MEM 90.238281 1719631408.1585
MEM 93.363281 1719631408.2593
MEM 96.363281 1719631408.3601
MEM 98.863281 1719631408.4609
MEM 101.363281 1719631408.5617
MEM 103.488281 1719631408.6625
MEM 105.988281 1719631408.7633
MEM 109.113281 1719631408.8641
MEM 111.328125 1719631408.9649
MEM 113.703125 1719631409.0657
MEM 120.203125 1719631409.1665
MEM 128.703125 1719631409.2673
MEM 136.078125 1719631409.3680
MEM 143.328125 1719631409.4688
MEM 150.953125 1719631409.5697
MEM 153.828125 1719631409.6705
MEM 159.453125 1719631409.7713
MEM 163.328125 1719631409.8726
MEM 167.453125 1719631409.9734
MEM 171.453125 1719631410.0743
MEM 173.703125 1719631410.1763
MEM 177.203125 1719631410.2771
MEM 181.953125 1719631410.3779
MEM 185.203125 1719631410.4785
MEM 188.453125 1719631410.5793
MEM 192.078125 1719631410.6801
MEM 194.578125 1719631410.7809
MEM 196.328125 1719631410.8817
MEM 199.703125 1719631410.9826
MEM 202.953125 1719631411.0834
MEM 204.078125 1719631411.1842
MEM 204.828125 1719631411.2850
MEM 206.828125 1719631411.3858
MEM 208.953125 1719631411.4865
MEM 223.578125 1719631411.5873
MEM 235.078125 1719631411.6878
MEM 245.953125 1719631411.7887
MEM 253.703125 1719631411.8895
MEM 262.203125 1719631411.9903
MEM 272.328125 1719631412.0912
MEM 315.328125 1719631412.1920
MEM 349.953125 1719631412.2928
MEM 362.328125 1719631412.3936
MEM 369.828125 1719631412.4944
MEM 377.578125 1719631412.5953
MEM 386.078125 1719631412.6961
MEM 393.453125 1719631412.7970
MEM 401.453125 1719631412.8978
MEM 408.578125 1719631412.9987
MEM 417.328125 1719631413.0995
MEM 426.328125 1719631413.2004
MEM 432.828125 1719631413.3015
MEM 442.578125 1719631413.4024
MEM 446.078125 1719631413.5048
MEM 457.058594 1719631413.6056
MEM 464.058594 1719631413.7065
MEM 468.183594 1719631413.8073
MEM 471.308594 1719631413.9081
MEM 473.308594 1719631414.0090
MEM 476.058594 1719631414.1098
MEM 477.808594 1719631414.2105
MEM 480.183594 1719631414.3114
MEM 480.933594 1719631414.4122
MEM 482.308594 1719631414.5130
MEM 485.308594 1719631414.6138
MEM 488.808594 1719631414.7145
MEM 489.058594 1719631414.8153
MEM 489.433594 1719631414.9162
MEM 494.308594 1719631415.0170
MEM 499.433594 1719631415.1179
MEM 501.558594 1719631415.2185
MEM 503.433594 1719631415.3193
MEM 503.558594 1719631415.4200
MEM 503.558594 1719631415.5208
MEM 507.183594 1719631415.6225
MEM 507.558594 1719631415.7233
MEM 507.683594 1719631415.8241
MEM 508.433594 1719631415.9249
MEM 511.808594 1719631416.0257
MEM 521.933594 1719631416.1265
MEM 533.183594 1719631416.2273
MEM 545.183594 1719631416.3282
MEM 553.808594 1719631416.4290
