CMDLINE python3 scripts/generate_text.py
MEM 1244.460938 1719625756.6523
MEM 1245.585938 1719625756.7532
MEM 1271.710938 1719625756.8541
MEM 1280.585938 1719625756.9546
MEM 1308.585938 1719625757.0554
MEM 1316.710938 1719625757.1595
MEM 1383.210938 1719625757.2625
MEM 1450.835938 1719625757.3634
MEM 1551.835938 1719625757.4666
MEM 1467.722656 1719625757.5675
MEM 1453.562500 1719625757.6684
MEM 1453.562500 1719625757.7692
MEM 1581.562500 1719625757.8701
MEM 1707.687500 1719625757.9727
MEM 1581.609375 1719625758.0735
MEM 1671.851562 1719625758.1744
MEM 1453.761719 1719625758.2753
MEM 1480.511719 1719625758.3789
MEM 1515.636719 1719625758.4830
MEM 1551.511719 1719625758.5842
MEM 1580.386719 1719625758.6866
MEM 1586.011719 1719625758.7906
MEM 1590.261719 1719625758.8946
MEM 1395.554688 1719625758.9977
MEM 1303.828125 1719625759.0985
MEM 1303.953125 1719625759.1994
MEM 1303.953125 1719625759.3002
MEM 1345.703125 1719625759.4026
MEM 1431.953125 1719625759.5066
MEM 1431.953125 1719625759.6106
MEM 1454.203125 1719625759.7144
MEM 1431.964844 1719625759.8154
MEM 1372.523438 1719625759.9185
MEM 1406.523438 1719625760.0225
MEM 1406.523438 1719625760.1265
MEM 1406.523438 1719625760.2305
MEM 1406.523438 1719625760.3346
MEM 1406.523438 1719625760.4386
MEM 1406.523438 1719625760.5426
MEM 1406.523438 1719625760.6465
MEM 1406.523438 1719625760.7505
MEM 1406.523438 1719625760.8545
MEM 1416.148438 1719625760.9586
MEM 1437.882812 1719625761.0626
MEM 1448.527344 1719625761.1666
MEM 1438.703125 1719625761.2674
MEM 1406.871094 1719625761.3683
MEM 1407.121094 1719625761.4691
MEM 1407.121094 1719625761.5700
MEM 1420.496094 1719625761.6746
MEM 1535.121094 1719625761.7756
MEM 1535.121094 1719625761.8786
MEM 1554.246094 1719625761.9825
MEM 1514.246094 1719625762.0866
MEM 1471.140625 1719625762.1874
MEM 1471.140625 1719625762.2882
MEM 1471.140625 1719625762.3905
MEM 1471.140625 1719625762.4945
MEM 1471.140625 1719625762.5972
MEM 1471.140625 1719625762.7025
MEM 1471.140625 1719625762.8066
MEM 1471.140625 1719625762.9106
MEM 1471.140625 1719625763.0129
MEM 1471.140625 1719625763.1145
MEM 1471.140625 1719625763.2154
MEM 1526.023438 1719625763.3162
MEM 1535.023438 1719625763.4186
MEM 1552.023438 1719625763.5266
MEM 1488.042969 1719625763.6305
MEM 1497.917969 1719625763.7346
MEM 1497.917969 1719625763.8385
MEM 1497.917969 1719625763.9425
MEM 1497.917969 1719625764.0465
MEM 1497.917969 1719625764.1505
MEM 1497.917969 1719625764.2546
MEM 1497.917969 1719625764.3555
MEM 1557.917969 1719625764.4567
MEM 1638.417969 1719625764.5586
MEM 1769.417969 1719625764.6626
MEM 1808.363281 1719625764.7666
MEM 1787.109375 1719625764.8675
MEM 1941.109375 1719625764.9684
MEM 1828.332031 1719625765.0692
MEM 1710.347656 1719625765.1709
MEM 1744.347656 1719625765.2730
MEM 1781.722656 1719625765.3746
MEM 1813.722656 1719625765.4759
MEM 1817.722656 1719625765.5786
MEM 1821.722656 1719625765.6805
MEM 1600.375000 1719625765.7827
MEM 1686.000000 1719625765.8866
MEM 1686.000000 1719625765.9906
MEM 1708.250000 1719625766.0945
MEM 1736.121094 1719625766.1971
MEM 1628.613281 1719625766.2986
MEM 1628.613281 1719625766.4025
MEM 1628.613281 1719625766.5065
MEM 1628.613281 1719625766.6105
MEM 1628.613281 1719625766.7137
MEM 1628.613281 1719625766.8147
MEM 1628.613281 1719625766.9158
MEM 1628.613281 1719625767.0185
MEM 1628.613281 1719625767.1225
MEM 1649.488281 1719625767.2266
MEM 1692.511719 1719625767.3312
MEM 1777.949219 1719625767.4320
MEM 1788.574219 1719625767.5331
MEM 1792.949219 1719625767.6339
MEM 1807.199219 1719625767.7345
MEM 1752.585938 1719625767.8386
MEM 1724.621094 1719625767.9420
MEM 1724.621094 1719625768.0426
MEM 1724.621094 1719625768.1466
MEM 1724.621094 1719625768.2507
MEM 1724.621094 1719625768.3546
MEM 1724.621094 1719625768.4586
MEM 1724.621094 1719625768.5665
MEM 1724.621094 1719625768.6715
MEM 1724.621094 1719625768.7723
MEM 1724.621094 1719625768.8731
MEM 1724.621094 1719625768.9745
MEM 1768.917969 1719625769.0753
MEM 1788.667969 1719625769.1786
MEM 1802.042969 1719625769.2809
