CMDLINE python3 scripts/train.py
MEM 0.375000 1719562267.3312
MEM 20.996094 1719562267.4345
MEM 61.253906 1719562267.5369
MEM 77.003906 1719562267.6380
MEM 85.902344 1719562267.7399
MEM 94.027344 1719562267.8408
MEM 99.027344 1719562267.9419
MEM 100.027344 1719562268.0426
MEM 103.902344 1719562268.1460
MEM 107.527344 1719562268.2466
MEM 110.527344 1719562268.3474
MEM 115.707031 1719562268.4506
MEM 119.707031 1719562268.5545
MEM 147.207031 1719562268.6585
MEM 157.082031 1719562268.7594
MEM 166.707031 1719562268.8602
MEM 173.207031 1719562268.9611
MEM 175.707031 1719562269.0619
MEM 181.332031 1719562269.1626
MEM 182.582031 1719562269.2637
MEM 201.207031 1719562269.3646
MEM 236.332031 1719562269.4655
MEM 343.082031 1719562269.5664
MEM 354.457031 1719562269.6673
MEM 365.332031 1719562269.7682
MEM 373.207031 1719562269.8690
MEM 383.207031 1719562269.9699
MEM 397.082031 1719562270.0708
MEM 433.457031 1719562270.1716
MEM 444.582031 1719562270.2725
MEM 450.832031 1719562270.3734
MEM 452.207031 1719562270.4743
MEM 456.707031 1719562270.5751
MEM 462.089844 1719562270.6760
MEM 466.214844 1719562270.7768
MEM 467.839844 1719562270.8777
MEM 468.214844 1719562270.9785
MEM 472.839844 1719562271.0794
MEM 478.214844 1719562271.1803
MEM 480.714844 1719562271.2811
MEM 486.339844 1719562271.3838
MEM 486.339844 1719562271.4847
MEM 492.839844 1719562271.5866
MEM 501.714844 1719562271.6875
MEM 508.464844 1719562271.7884
MEM 516.339844 1719562271.8906
MEM 522.089844 1719562271.9914
MEM 527.339844 1719562272.0922
MEM 534.089844 1719562272.1931
MEM 544.839844 1719562272.2944
MEM 553.714844 1719562272.3952
MEM 559.089844 1719562272.4982
MEM 559.089844 1719562272.5990
MEM 564.839844 1719562272.7001
MEM 567.589844 1719562272.8010
MEM 571.214844 1719562272.9018
MEM 572.214844 1719562273.0027
MEM 574.214844 1719562273.1036
MEM 736.714844 1719562273.2045
MEM 948.089844 1719562273.3054
MEM 921.191406 1719562273.4063
MEM 850.320312 1719562273.5072
MEM 869.695312 1719562273.6105
MEM 870.445312 1719562273.7114
MEM 871.820312 1719562273.8122
MEM 876.945312 1719562273.9131
MEM 877.695312 1719562274.0139
MEM 878.445312 1719562274.1146
MEM 878.570312 1719562274.2154
MEM 878.570312 1719562274.3163
MEM 879.070312 1719562274.4171
MEM 879.070312 1719562274.5179
MEM 879.070312 1719562274.6186
MEM 879.070312 1719562274.7194
MEM 879.070312 1719562274.8200
MEM 879.070312 1719562274.9246
MEM 879.070312 1719562275.0260
MEM 879.070312 1719562275.1266
MEM 879.070312 1719562275.2275
MEM 879.070312 1719562275.3283
MEM 879.070312 1719562275.4291
MEM 879.070312 1719562275.5299
MEM 879.070312 1719562275.6308
MEM 879.445312 1719562275.7317
MEM 879.445312 1719562275.8325
MEM 879.445312 1719562275.9333
MEM 880.320312 1719562276.0341
MEM 881.945312 1719562276.1346
MEM 884.570312 1719562276.2354
MEM 885.945312 1719562276.3362
MEM 887.320312 1719562276.4368
MEM 891.445312 1719562276.5376
MEM 926.445312 1719562276.6385
MEM 922.812500 1719562276.7394
MEM 926.687500 1719562276.8402
MEM 936.187500 1719562276.9410
MEM 946.062500 1719562277.0418
MEM 956.562500 1719562277.1426
MEM 956.562500 1719562277.2434
MEM 956.562500 1719562277.3443
MEM 960.187500 1719562277.4452
MEM 962.062500 1719562277.5460
MEM 963.687500 1719562277.6466
MEM 965.562500 1719562277.7474
MEM 966.937500 1719562277.8482
MEM 968.187500 1719562277.9491
MEM 968.312500 1719562278.0500
MEM 969.062500 1719562278.1506
MEM 969.437500 1719562278.2514
MEM 975.812500 1719562278.3523
MEM 978.312500 1719562278.4532
MEM 978.937500 1719562278.5546
MEM 978.937500 1719562278.6554
MEM 978.937500 1719562278.7563
MEM 978.937500 1719562278.8572
MEM 978.937500 1719562278.9581
MEM 978.937500 1719562279.0586
MEM 978.937500 1719562279.1594
MEM 978.937500 1719562279.2603
MEM 978.937500 1719562279.3612
MEM 978.937500 1719562279.4621
MEM 978.937500 1719562279.5626
MEM 978.937500 1719562279.6635
MEM 978.937500 1719562279.7644
MEM 978.937500 1719562279.8653
MEM 981.312500 1719562279.9662
MEM 981.312500 1719562280.0699
MEM 981.312500 1719562280.1706
MEM 981.312500 1719562280.2719
MEM 981.312500 1719562280.3729
MEM 981.312500 1719562280.4738
MEM 981.312500 1719562280.5746
MEM 981.312500 1719562280.6755
MEM 981.312500 1719562280.7776
MEM 981.312500 1719562280.8785
MEM 981.312500 1719562280.9794
MEM 981.312500 1719562281.0803
MEM 981.312500 1719562281.1811
MEM 981.312500 1719562281.2820
MEM 981.312500 1719562281.3828
MEM 981.312500 1719562281.4837
MEM 981.312500 1719562281.5846
MEM 981.312500 1719562281.6855
MEM 981.312500 1719562281.7868
MEM 981.312500 1719562281.8877
MEM 981.312500 1719562281.9887
MEM 981.312500 1719562282.0896
MEM 981.312500 1719562282.1905
MEM 982.312500 1719562282.2946
MEM 984.562500 1719562282.3954
MEM 996.687500 1719562282.4963
MEM 1062.562500 1719562282.5986
MEM 1194.437500 1719562282.7026
MEM 1129.222656 1719562282.8032
MEM 1130.722656 1719562282.9042
MEM 1131.097656 1719562283.0050
MEM 1132.347656 1719562283.1059
MEM 1132.347656 1719562283.2066
MEM 1132.597656 1719562283.3074
MEM 1314.222656 1719562283.4106
MEM 1526.222656 1719562283.5115
MEM 1652.722656 1719562283.6123
MEM 1777.472656 1719562283.7133
MEM 1898.847656 1719562283.8142
MEM 1913.847656 1719562283.9181
MEM 1913.847656 1719562284.0226
MEM 1913.847656 1719562284.1235
MEM 1913.847656 1719562284.2245
MEM 1913.847656 1719562284.3255
MEM 1913.847656 1719562284.4266
MEM 1913.847656 1719562284.5306
MEM 1913.847656 1719562284.6312
MEM 1913.847656 1719562284.7321
MEM 1920.597656 1719562284.8330
MEM 1944.847656 1719562284.9345
MEM 1969.347656 1719562285.0385
MEM 1994.597656 1719562285.1426
MEM 2019.722656 1719562285.2465
MEM 2045.097656 1719562285.3505
MEM 2069.222656 1719562285.4530
MEM 2098.222656 1719562285.5540
MEM 1654.601562 1719562285.6547
MEM 1631.988281 1719562285.7586
MEM 1835.613281 1719562285.8626
MEM 1982.738281 1719562285.9666
MEM 2203.863281 1719562286.0706
MEM 1963.671875 1719562286.1715
MEM 1523.484375 1719562286.2723
MEM 1533.734375 1719562286.3732
MEM 1535.984375 1719562286.4741
MEM 1545.109375 1719562286.5746
MEM 1557.109375 1719562286.6754
MEM 1573.734375 1719562286.7764
MEM 1573.734375 1719562286.8782
MEM 1574.109375 1719562286.9791
MEM 1574.109375 1719562287.0800
MEM 1574.109375 1719562287.1809
MEM 1616.984375 1719562287.2826
MEM 1670.234375 1719562287.3865
MEM 1678.859375 1719562287.4906
MEM 1622.253906 1719562287.5915
MEM 1622.265625 1719562287.6929
MEM 1643.515625 1719562287.7945
MEM 1655.515625 1719562287.8985
MEM 1655.515625 1719562287.9996
MEM 1655.515625 1719562288.1005
MEM 1655.515625 1719562288.2025
MEM 1655.515625 1719562288.3066
MEM 1655.515625 1719562288.4107
MEM 1655.515625 1719562288.5136
MEM 1671.640625 1719562288.6146
MEM 1671.765625 1719562288.7186
MEM 1671.890625 1719562288.8226
MEM 1671.890625 1719562288.9235
MEM 1686.015625 1719562289.0243
MEM 1695.140625 1719562289.1252
MEM 1711.140625 1719562289.2260
MEM 1717.140625 1719562289.3306
MEM 1784.015625 1719562289.4342
MEM 1845.265625 1719562289.5347
MEM 1932.140625 1719562289.6386
MEM 1889.417969 1719562289.7426
MEM 1848.015625 1719562289.8435
MEM 1848.015625 1719562289.9460
MEM 1954.765625 1719562290.0482
MEM 2041.265625 1719562290.1506
MEM 1976.175781 1719562290.2515
MEM 2062.050781 1719562290.3546
MEM 1848.226562 1719562290.4586
MEM 1854.601562 1719562290.5626
MEM 1882.976562 1719562290.6666
MEM 1920.101562 1719562290.7707
MEM 1951.976562 1719562290.8723
MEM 1976.601562 1719562290.9735
MEM 1981.476562 1719562291.0744
MEM 1985.476562 1719562291.1786
MEM 1698.042969 1719562291.2794
MEM 1698.417969 1719562291.3803
MEM 1698.417969 1719562291.4812
MEM 1706.417969 1719562291.5826
MEM 1706.417969 1719562291.6837
MEM 1706.792969 1719562291.7846
MEM 1706.917969 1719562291.8856
MEM 1706.917969 1719562291.9862
MEM 1722.667969 1719562292.0906
MEM 1834.917969 1719562292.1917
MEM 1834.917969 1719562292.2947
MEM 1851.417969 1719562292.3985
MEM 1770.992188 1719562292.4996
MEM 1836.992188 1719562292.6005
MEM 1794.382812 1719562292.7026
MEM 1809.507812 1719562292.8068
MEM 1809.507812 1719562292.9080
MEM 1809.507812 1719562293.0107
MEM 1809.507812 1719562293.1146
MEM 1809.507812 1719562293.2186
MEM 1809.507812 1719562293.3227
MEM 1809.507812 1719562293.4266
MEM 1809.507812 1719562293.5306
MEM 1809.507812 1719562293.6314
MEM 1841.507812 1719562293.7323
MEM 1832.757812 1719562293.8346
MEM 1841.753906 1719562293.9355
MEM 1841.832031 1719562294.0375
MEM 1841.832031 1719562294.1384
MEM 1810.097656 1719562294.2393
MEM 1810.097656 1719562294.3402
MEM 1810.097656 1719562294.4411
MEM 1810.097656 1719562294.5420
MEM 1938.097656 1719562294.6464
MEM 1938.097656 1719562294.7479
MEM 1951.722656 1719562294.8505
MEM 1874.109375 1719562294.9514
MEM 1976.734375 1719562295.0523
MEM 1881.375000 1719562295.1546
MEM 1881.375000 1719562295.2586
MEM 1881.375000 1719562295.3626
MEM 1881.375000 1719562295.4666
MEM 1881.375000 1719562295.5696
MEM 1881.375000 1719562295.6705
MEM 1881.375000 1719562295.7747
MEM 1881.375000 1719562295.8786
MEM 1881.375000 1719562295.9825
MEM 1881.375000 1719562296.0834
MEM 1882.265625 1719562296.1845
MEM 1978.265625 1719562296.2866
MEM 1978.265625 1719562296.3876
MEM 1997.140625 1719562296.4905
MEM 1931.539062 1719562296.5945
MEM 1932.914062 1719562296.6986
MEM 1932.914062 1719562296.7996
MEM 1932.914062 1719562296.9026
MEM 1932.914062 1719562297.0035
MEM 1932.914062 1719562297.1056
MEM 1932.914062 1719562297.2066
MEM 1932.914062 1719562297.3076
MEM 1964.914062 1719562297.4086
MEM 2000.914062 1719562297.5095
MEM 2053.414062 1719562297.6106
MEM 2139.664062 1719562297.7146
MEM 2173.410156 1719562297.8186
MEM 2146.261719 1719562297.9227
MEM 2322.386719 1719562298.0266
MEM 2335.214844 1719562298.1310
MEM 2114.210938 1719562298.2350
MEM 2148.460938 1719562298.3386
MEM 2183.210938 1719562298.4432
MEM 2212.960938 1719562298.5446
MEM 2223.335938 1719562298.6466
MEM 2227.585938 1719562298.7506
MEM 1972.820312 1719562298.8514
MEM 2061.105469 1719562298.9523
MEM 2092.855469 1719562299.0546
MEM 2097.230469 1719562299.1587
MEM 2121.105469 1719562299.2595
MEM 2092.964844 1719562299.3604
MEM 2032.210938 1719562299.4612
MEM 2032.210938 1719562299.5626
MEM 2032.210938 1719562299.6667
MEM 2032.210938 1719562299.7692
MEM 2032.210938 1719562299.8719
MEM 2032.210938 1719562299.9746
MEM 2032.210938 1719562300.0758
MEM 2032.210938 1719562300.1786
MEM 2032.210938 1719562300.2824
MEM 2032.210938 1719562300.3834
MEM 2087.203125 1719562300.4866
MEM 2133.441406 1719562300.5886
MEM 2192.191406 1719562300.6896
MEM 2192.191406 1719562300.7905
MEM 2214.441406 1719562300.8948
MEM 2247.445312 1719562300.9986
MEM 2128.210938 1719562301.1026
MEM 2128.210938 1719562301.2057
MEM 2128.210938 1719562301.3106
MEM 2128.210938 1719562301.4145
MEM 2128.210938 1719562301.5185
MEM 2128.210938 1719562301.6241
MEM 2128.210938 1719562301.7266
MEM 2128.210938 1719562301.8306
MEM 2128.210938 1719562301.9345
MEM 2128.210938 1719562302.0385
MEM 2096.207031 1719562302.1406
MEM 2163.457031 1719562302.2426
MEM 2168.207031 1719562302.3506
MEM 2168.207031 1719562302.4545
MEM 2168.207031 1719562302.5567
MEM 2177.457031 1719562302.6577
MEM 2144.261719 1719562302.7586
MEM 2144.261719 1719562302.8625
MEM 2144.261719 1719562302.9644
MEM 2144.261719 1719562303.0657
MEM 2144.261719 1719562303.1670
MEM 2144.261719 1719562303.2706
MEM 2144.261719 1719562303.3715
MEM 2144.261719 1719562303.4749
MEM 2144.261719 1719562303.5783
MEM 2194.761719 1719562303.6827
MEM 2267.886719 1719562303.7837
MEM 2380.386719 1719562303.8866
MEM 2420.808594 1719562303.9906
MEM 2405.535156 1719562304.0946
MEM 2560.660156 1719562304.1954
MEM 2473.742188 1719562304.2963
MEM 2330.761719 1719562304.3990
MEM 2366.886719 1719562304.5028
MEM 2403.261719 1719562304.6071
MEM 2430.386719 1719562304.7110
MEM 2434.636719 1719562304.8146
MEM 2437.886719 1719562304.9155
MEM 2441.511719 1719562305.0165
MEM 2177.640625 1719562305.1181
MEM 2305.515625 1719562305.2228
MEM 2305.515625 1719562305.3247
MEM 2320.765625 1719562305.4255
MEM 2278.664062 1719562305.5264
MEM 2244.328125 1719562305.6307
MEM 2244.453125 1719562305.7345
MEM 2244.453125 1719562305.8386
MEM 2244.453125 1719562305.9429
MEM 2244.453125 1719562306.0437
MEM 2244.453125 1719562306.1446
MEM 2244.453125 1719562306.2467
MEM 2244.453125 1719562306.3506
MEM 2244.453125 1719562306.4545
MEM 2244.453125 1719562306.5586
MEM 2244.453125 1719562306.6608
MEM 2308.507812 1719562306.7626
MEM 2357.226562 1719562306.8635
MEM 2404.601562 1719562306.9645
MEM 2406.351562 1719562307.0666
MEM 2428.726562 1719562307.1674
MEM 2466.550781 1719562307.2686
MEM 2340.632812 1719562307.3706
MEM 2340.632812 1719562307.4746
MEM 2340.632812 1719562307.5786
MEM 2340.632812 1719562307.6826
MEM 2340.632812 1719562307.7866
MEM 2340.632812 1719562307.8906
MEM 2340.632812 1719562307.9946
MEM 2340.632812 1719562308.0986
MEM 2340.632812 1719562308.2018
MEM 2308.601562 1719562308.3042
MEM 2400.101562 1719562308.4051
MEM 2404.476562 1719562308.5066
MEM 2420.726562 1719562308.6106
MEM 2356.503906 1719562308.7114
MEM 2356.878906 1719562308.8145
MEM 2356.878906 1719562308.9187
MEM 2356.878906 1719562309.0227
MEM 2356.878906 1719562309.1268
MEM 2356.878906 1719562309.2308
MEM 2356.878906 1719562309.3346
MEM 2356.878906 1719562309.4359
MEM 2392.253906 1719562309.5386
MEM 2471.878906 1719562309.6426
MEM 2626.503906 1719562309.7435
MEM 2553.125000 1719562309.8443
MEM 2611.613281 1719562309.9466
MEM 2695.988281 1719562310.0478
MEM 2675.910156 1719562310.1506
MEM 2507.382812 1719562310.2550
MEM 2539.257812 1719562310.3595
MEM 2574.382812 1719562310.4629
MEM 2608.882812 1719562310.5670
MEM 2628.757812 1719562310.6684
MEM 2633.007812 1719562310.7707
MEM 2636.757812 1719562310.8716
MEM 2372.953125 1719562310.9725
MEM 2500.828125 1719562311.0747
MEM 2500.828125 1719562311.1764
MEM 2516.328125 1719562311.2786
MEM 2483.269531 1719562311.3826
MEM 2436.886719 1719562311.4854
MEM 2436.886719 1719562311.5866
MEM 2436.886719 1719562311.6905
MEM 2436.886719 1719562311.7946
MEM 2436.886719 1719562311.8986
MEM 2436.886719 1719562312.0026
MEM 2436.886719 1719562312.1066
MEM 2436.886719 1719562312.2107
MEM 2436.886719 1719562312.3146
MEM 2436.886719 1719562312.4184
MEM 2500.929688 1719562312.5226
MEM 2554.777344 1719562312.6235
MEM 2596.902344 1719562312.7266
MEM 2600.402344 1719562312.8305
MEM 2623.652344 1719562312.9314
MEM 2586.871094 1719562313.0323
MEM 2533.140625 1719562313.1346
MEM 2533.140625 1719562313.2387
MEM 2533.140625 1719562313.3426
MEM 2533.140625 1719562313.4455
MEM 2533.140625 1719562313.5466
MEM 2533.140625 1719562313.6506
MEM 2533.140625 1719562313.7546
MEM 2533.140625 1719562313.8587
MEM 2533.140625 1719562313.9626
MEM 2501.136719 1719562314.0649
MEM 2597.136719 1719562314.1667
MEM 2597.136719 1719562314.2706
MEM 2610.011719 1719562314.3734
MEM 2596.804688 1719562314.4744
MEM 2549.179688 1719562314.5753
MEM 2549.179688 1719562314.6785
MEM 2549.179688 1719562314.7827
MEM 2549.179688 1719562314.8866
MEM 2549.179688 1719562314.9886
MEM 2549.179688 1719562315.0894
MEM 2549.179688 1719562315.1906
MEM 2549.179688 1719562315.2915
MEM 2551.304688 1719562315.3949
MEM 2620.679688 1719562315.4965
MEM 2692.179688 1719562315.5974
MEM 2720.292969 1719562315.6986
MEM 2693.285156 1719562315.8026
MEM 2862.035156 1719562315.9066
MEM 2842.777344 1719562316.0106
MEM 2699.042969 1719562316.1150
MEM 2733.917969 1719562316.2163
MEM 2768.792969 1719562316.3186
MEM 2802.417969 1719562316.4234
MEM 2822.167969 1719562316.5266
MEM 2826.167969 1719562316.6306
MEM 2829.167969 1719562316.7321
MEM 2612.031250 1719562316.8346
MEM 2693.156250 1719562316.9387
MEM 2693.156250 1719562317.0397
MEM 2711.031250 1719562317.1426
MEM 2709.046875 1719562317.2466
MEM 2632.441406 1719562317.3547
MEM 2632.441406 1719562317.4586
MEM 2632.441406 1719562317.5625
MEM 2632.441406 1719562317.6666
MEM 2632.441406 1719562317.7706
MEM 2632.441406 1719562317.8746
MEM 2632.441406 1719562317.9786
MEM 2632.441406 1719562318.0795
MEM 2632.441406 1719562318.1804
MEM 2632.441406 1719562318.2827
MEM 2632.441406 1719562318.3851
MEM 2632.441406 1719562318.4860
MEM 2632.441406 1719562318.5867
MEM 2632.441406 1719562318.6906
MEM 2632.441406 1719562318.7949
MEM 2632.441406 1719562318.8986
MEM 2694.984375 1719562318.9995
MEM 2695.984375 1719562319.1004
MEM 2792.296875 1719562319.2026
MEM 2792.296875 1719562319.3037
MEM 2799.296875 1719562319.4064
MEM 2822.296875 1719562319.5073
MEM 2792.585938 1719562319.6081
MEM 2728.484375 1719562319.7106
MEM 2728.484375 1719562319.8186
MEM 2728.484375 1719562319.9226
MEM 2728.484375 1719562320.0265
MEM 2728.484375 1719562320.1305
MEM 2728.484375 1719562320.2346
MEM 2728.484375 1719562320.3386
MEM 2728.484375 1719562320.4426
MEM 2728.484375 1719562320.5466
MEM 2728.484375 1719562320.6475
MEM 2755.238281 1719562320.7484
MEM 2792.488281 1719562320.8507
MEM 2800.488281 1719562320.9546
MEM 2744.449219 1719562321.0588
MEM 2811.324219 1719562321.1603
MEM 2754.570312 1719562321.2620
MEM 2744.449219 1719562321.3626
MEM 2744.449219 1719562321.4666
MEM 2744.449219 1719562321.5706
MEM 2744.449219 1719562321.6746
MEM 2744.449219 1719562321.7786
MEM 2744.449219 1719562321.8872
MEM 2744.449219 1719562321.9882
MEM 2744.449219 1719562322.0906
MEM 2744.449219 1719562322.1922
MEM 2744.449219 1719562322.2931
MEM 2744.449219 1719562322.3939
MEM 2744.449219 1719562322.4987
MEM 2776.449219 1719562322.6010
MEM 2815.074219 1719562322.7026
MEM 2848.699219 1719562322.8067
MEM 2877.824219 1719562322.9080
MEM 2906.074219 1719562323.0091
MEM 2954.949219 1719562323.1099
MEM 3008.199219 1719562323.2106
MEM 2895.519531 1719562323.3146
MEM 2929.644531 1719562323.4185
MEM 2976.894531 1719562323.5227
MEM 2987.808594 1719562323.6236
MEM 2888.515625 1719562323.7266
MEM 2920.890625 1719562323.8306
MEM 2987.640625 1719562323.9346
MEM 3045.015625 1719562324.0386
MEM 3105.640625 1719562324.1427
MEM 3106.558594 1719562324.2468
MEM 3075.644531 1719562324.3498
MEM 3068.675781 1719562324.4505
MEM 2888.519531 1719562324.5547
MEM 2903.769531 1719562324.6577
MEM 2918.894531 1719562324.7586
MEM 2932.019531 1719562324.8594
MEM 2945.519531 1719562324.9604
MEM 2959.269531 1719562325.0622
MEM 2973.769531 1719562325.1626
MEM 2988.019531 1719562325.2666
MEM 2998.769531 1719562325.3679
MEM 3013.644531 1719562325.4707
MEM 3017.269531 1719562325.5746
MEM 3019.019531 1719562325.6786
MEM 3021.394531 1719562325.7826
MEM 3022.894531 1719562325.8834
MEM 3024.394531 1719562325.9866
MEM 2862.578125 1719562326.0906
MEM 2760.578125 1719562326.1924
MEM 2801.203125 1719562326.2946
MEM 2851.703125 1719562326.3986
MEM 2888.453125 1719562326.5015
MEM 2888.453125 1719562326.6028
MEM 2888.453125 1719562326.7038
MEM 2893.828125 1719562326.8066
MEM 2906.828125 1719562326.9075
MEM 2916.578125 1719562327.0084
MEM 2837.210938 1719562327.1092
MEM 2896.210938 1719562327.2101
MEM 2938.601562 1719562327.3106
MEM 2826.500000 1719562327.4134
MEM 2827.750000 1719562327.5143
MEM 2827.750000 1719562327.6181
MEM 2827.750000 1719562327.7185
MEM 2827.750000 1719562327.8216
MEM 2827.750000 1719562327.9225
MEM 2827.750000 1719562328.0266
MEM 2827.750000 1719562328.1310
MEM 2827.750000 1719562328.2322
MEM 2827.750000 1719562328.3346
MEM 2827.750000 1719562328.4363
MEM 2827.750000 1719562328.5372
MEM 2827.750000 1719562328.6386
MEM 2827.750000 1719562328.7399
MEM 2827.750000 1719562328.8426
MEM 2827.750000 1719562328.9468
MEM 2827.750000 1719562329.0495
MEM 2827.750000 1719562329.1504
MEM 2828.000000 1719562329.2547
MEM 2859.742188 1719562329.3587
MEM 2879.492188 1719562329.4626
MEM 2862.367188 1719562329.5666
MEM 2917.742188 1719562329.6706
MEM 2960.742188 1719562329.7746
MEM 2987.742188 1719562329.8787
MEM 2987.742188 1719562329.9826
MEM 2987.742188 1719562330.0866
MEM 2997.242188 1719562330.1906
MEM 3006.117188 1719562330.2945
MEM 2963.609375 1719562330.3986
MEM 3008.953125 1719562330.5013
MEM 2923.746094 1719562330.6029
MEM 2923.746094 1719562330.7066
MEM 2923.746094 1719562330.8106
MEM 2923.746094 1719562330.9146
MEM 2923.746094 1719562331.0180
MEM 2923.746094 1719562331.1226
MEM 2923.746094 1719562331.2266
MEM 2923.746094 1719562331.3309
MEM 2923.746094 1719562331.4346
MEM 2923.746094 1719562331.5361
MEM 2923.746094 1719562331.6386
MEM 2923.746094 1719562331.7434
MEM 2923.746094 1719562331.8466
MEM 2923.746094 1719562331.9506
MEM 2923.746094 1719562332.0546
MEM 2923.746094 1719562332.1595
MEM 2923.746094 1719562332.2603
MEM 2923.746094 1719562332.3613
MEM 2923.746094 1719562332.4622
MEM 2923.746094 1719562332.5666
MEM 2923.746094 1719562332.6675
MEM 2923.746094 1719562332.7683
MEM 2891.742188 1719562332.8692
MEM 2916.992188 1719562332.9701
MEM 2960.617188 1719562333.0707
MEM 2987.742188 1719562333.1746
MEM 2987.742188 1719562333.2786
MEM 2987.742188 1719562333.3821
MEM 2989.742188 1719562333.4845
MEM 3001.117188 1719562333.5906
MEM 2973.917969 1719562333.6946
MEM 2998.171875 1719562333.7954
MEM 2939.789062 1719562333.9026
MEM 2939.789062 1719562334.0067
MEM 2939.789062 1719562334.1106
MEM 2939.789062 1719562334.2146
MEM 2939.789062 1719562334.3180
MEM 2939.789062 1719562334.4196
MEM 2939.789062 1719562334.5226
MEM 2939.789062 1719562334.6234
MEM 2939.789062 1719562334.7265
MEM 2939.789062 1719562334.8306
MEM 2939.789062 1719562334.9346
MEM 2939.789062 1719562335.0386
MEM 2939.789062 1719562335.1427
MEM 2939.789062 1719562335.2466
MEM 2946.664062 1719562335.3490
MEM 2971.789062 1719562335.4499
MEM 2995.289062 1719562335.5506
MEM 3028.664062 1719562335.6546
MEM 3063.039062 1719562335.7565
MEM 3092.164062 1719562335.8586
MEM 3179.789062 1719562335.9626
MEM 3103.667969 1719562336.0666
MEM 3190.667969 1719562336.1706
MEM 3083.785156 1719562336.2715
MEM 3129.035156 1719562336.3746
MEM 3202.535156 1719562336.4786
MEM 3254.785156 1719562336.5826
MEM 3323.160156 1719562336.6866
MEM 3223.464844 1719562336.7906
MEM 3322.589844 1719562336.8946
MEM 3173.898438 1719562336.9986
MEM 3096.480469 1719562337.1016
MEM 3119.980469 1719562337.2030
MEM 3134.355469 1719562337.3042
MEM 3151.230469 1719562337.4059
MEM 3172.105469 1719562337.5066
MEM 3193.730469 1719562337.6094
MEM 3212.230469 1719562337.7143
MEM 3215.230469 1719562337.8178
MEM 3217.980469 1719562337.9215
MEM 3219.730469 1719562338.0226
MEM 3063.820312 1719562338.1266
MEM 2955.820312 1719562338.2306
MEM 3004.195312 1719562338.3349
MEM 3050.695312 1719562338.4386
MEM 3083.695312 1719562338.5426
MEM 3083.695312 1719562338.6466
MEM 3083.695312 1719562338.7481
MEM 3094.070312 1719562338.8506
MEM 3103.570312 1719562338.9546
MEM 3114.945312 1719562339.0568
MEM 3069.476562 1719562339.1577
MEM 3083.871094 1719562339.2594
MEM 3019.789062 1719562339.3618
MEM 3019.789062 1719562339.4626
MEM 3019.789062 1719562339.5666
MEM 3019.789062 1719562339.6706
MEM 3019.789062 1719562339.7746
MEM 3019.789062 1719562339.8788
MEM 3019.789062 1719562339.9826
MEM 3019.789062 1719562340.0866
MEM 3019.789062 1719562340.1906
MEM 3019.789062 1719562340.2946
MEM 3019.789062 1719562340.3986
MEM 3019.789062 1719562340.5011
MEM 3019.789062 1719562340.6027
MEM 3019.789062 1719562340.7037
MEM 3019.789062 1719562340.8049
MEM 3019.789062 1719562340.9058
MEM 3019.789062 1719562341.0066
MEM 3019.789062 1719562341.1106
