CMDLINE python3 scripts/train.py
MEM 0.375000 1719574289.2562
MEM 18.500000 1719574289.3570
MEM 25.542969 1719574289.4578
MEM 31.042969 1719574289.5586
MEM 38.042969 1719574289.6594
MEM 50.917969 1719574289.7602
MEM 59.667969 1719574289.8610
MEM 68.667969 1719574289.9626
MEM 76.167969 1719574290.0662
MEM 80.828125 1719574290.1671
MEM 84.703125 1719574290.2679
MEM 89.828125 1719574290.3688
MEM 93.953125 1719574290.4702
MEM 97.078125 1719574290.5715
MEM 99.828125 1719574290.6723
MEM 101.828125 1719574290.7727
MEM 104.453125 1719574290.8743
MEM 107.078125 1719574290.9752
MEM 108.453125 1719574291.0785
MEM 111.941406 1719574291.1801
MEM 113.441406 1719574291.2809
MEM 115.691406 1719574291.3817
MEM 117.191406 1719574291.4833
MEM 119.066406 1719574291.5838
MEM 130.441406 1719574291.6846
MEM 138.566406 1719574291.7854
MEM 144.066406 1719574291.8863
MEM 150.566406 1719574291.9871
MEM 156.316406 1719574292.0879
MEM 160.066406 1719574292.1888
MEM 165.566406 1719574292.2893
MEM 169.441406 1719574292.3901
MEM 171.816406 1719574292.4922
MEM 174.816406 1719574292.5930
MEM 178.816406 1719574292.6939
MEM 180.691406 1719574292.7945
MEM 181.441406 1719574292.8954
MEM 183.316406 1719574292.9962
MEM 188.066406 1719574293.0971
MEM 200.441406 1719574293.1979
MEM 209.316406 1719574293.2985
MEM 219.191406 1719574293.3994
MEM 226.441406 1719574293.5003
MEM 235.566406 1719574293.6012
MEM 241.816406 1719574293.7020
MEM 264.816406 1719574293.8028
MEM 306.441406 1719574293.9037
MEM 330.066406 1719574294.0045
MEM 341.816406 1719574294.1054
MEM 349.941406 1719574294.2060
MEM 356.441406 1719574294.3065
MEM 364.691406 1719574294.4075
MEM 371.191406 1719574294.5083
MEM 379.066406 1719574294.6092
MEM 386.191406 1719574294.7101
MEM 395.191406 1719574294.8106
MEM 403.566406 1719574294.9115
MEM 419.066406 1719574295.0123
MEM 428.191406 1719574295.1132
MEM 436.191406 1719574295.2140
MEM 441.691406 1719574295.3146
MEM 445.441406 1719574295.4154
MEM 447.816406 1719574295.5162
MEM 449.816406 1719574295.6186
MEM 450.691406 1719574295.7195
MEM 452.691406 1719574295.8203
MEM 454.816406 1719574295.9212
MEM 459.523438 1719574296.0220
MEM 462.648438 1719574296.1228
MEM 465.648438 1719574296.2237
MEM 466.148438 1719574296.3245
MEM 467.023438 1719574296.4265
MEM 472.148438 1719574296.5274
MEM 476.523438 1719574296.6283
MEM 479.148438 1719574296.7292
MEM 480.398438 1719574296.8300
MEM 484.273438 1719574296.9326
MEM 484.273438 1719574297.0336
MEM 485.273438 1719574297.1345
MEM 489.773438 1719574297.2354
MEM 492.648438 1719574297.3362
MEM 498.023438 1719574297.4386
MEM 501.648438 1719574297.5392
MEM 506.523438 1719574297.6400
MEM 510.773438 1719574297.7408
MEM 514.773438 1719574297.8416
MEM 519.398438 1719574297.9426
MEM 521.773438 1719574298.0434
MEM 525.648438 1719574298.1443
MEM 529.023438 1719574298.2451
MEM 532.273438 1719574298.3460
MEM 536.273438 1719574298.4465
MEM 540.148438 1719574298.5474
MEM 544.023438 1719574298.6482
MEM 548.148438 1719574298.7489
MEM 552.773438 1719574298.8498
MEM 556.023438 1719574298.9506
MEM 557.023438 1719574299.0515
MEM 558.648438 1719574299.1523
MEM 561.273438 1719574299.2532
MEM 564.773438 1719574299.3540
MEM 566.398438 1719574299.4545
MEM 568.773438 1719574299.5555
MEM 570.398438 1719574299.6563
MEM 570.773438 1719574299.7571
MEM 572.398438 1719574299.8579
MEM 578.398438 1719574299.9585
MEM 612.648438 1719574300.0594
MEM 669.648438 1719574300.1602
MEM 729.648438 1719574300.2610
MEM 788.148438 1719574300.3619
MEM 846.773438 1719574300.4626
MEM 899.398438 1719574300.5634
MEM 950.023438 1719574300.6666
MEM 973.898438 1719574300.7675
