CMDLINE python3 scripts/generate_text.py
MEM 0.375000 1719631974.7679
MEM 18.750000 1719631974.8687
MEM 23.167969 1719631974.9695
MEM 29.292969 1719631975.0705
MEM 33.042969 1719631975.1713
MEM 44.542969 1719631975.2722
MEM 51.292969 1719631975.3730
MEM 58.167969 1719631975.4738
MEM 65.167969 1719631975.5745
MEM 75.667969 1719631975.6753
MEM 80.031250 1719631975.7761
MEM 82.906250 1719631975.8768
MEM 85.531250 1719631975.9777
MEM 90.531250 1719631976.0785
MEM 95.156250 1719631976.1793
MEM 98.281250 1719631976.2801
MEM 100.031250 1719631976.3810
MEM 102.531250 1719631976.4818
MEM 104.406250 1719631976.5828
MEM 106.531250 1719631976.6836
MEM 108.156250 1719631976.7844
MEM 112.039062 1719631976.8852
MEM 114.164062 1719631976.9860
MEM 115.789062 1719631977.0865
MEM 127.164062 1719631977.1874
MEM 135.039062 1719631977.2881
MEM 140.664062 1719631977.3889
MEM 146.914062 1719631977.4897
MEM 152.789062 1719631977.5905
MEM 158.039062 1719631977.6913
MEM 162.414062 1719631977.7921
MEM 166.039062 1719631977.8928
MEM 170.289062 1719631977.9936
MEM 173.289062 1719631978.0945
MEM 176.289062 1719631978.1953
MEM 181.164062 1719631978.2961
MEM 184.539062 1719631978.3969
MEM 188.289062 1719631978.4976
MEM 190.789062 1719631978.5985
MEM 194.039062 1719631978.6993
MEM 196.039062 1719631978.8001
MEM 198.789062 1719631978.9008
MEM 201.914062 1719631979.0017
MEM 203.164062 1719631979.1029
MEM 205.039062 1719631979.2037
MEM 205.789062 1719631979.3045
MEM 207.289062 1719631979.4054
MEM 209.414062 1719631979.5062
MEM 221.914062 1719631979.6065
MEM 230.914062 1719631979.7073
MEM 245.414062 1719631979.8082
MEM 252.164062 1719631979.9091
MEM 260.789062 1719631980.0100
MEM 267.164062 1719631980.1105
MEM 278.164062 1719631980.2114
MEM 319.164062 1719631980.3122
MEM 351.039062 1719631980.4130
MEM 363.789062 1719631980.5138
MEM 370.539062 1719631980.6146
MEM 378.164062 1719631980.7151
MEM 385.914062 1719631980.8159
MEM 393.664062 1719631980.9168
MEM 400.664062 1719631981.0185
MEM 406.539062 1719631981.1194
MEM 413.664062 1719631981.2202
MEM 422.664062 1719631981.3211
MEM 431.289062 1719631981.4219
MEM 447.039062 1719631981.5225
MEM 458.265625 1719631981.6233
MEM 462.890625 1719631981.7245
MEM 467.765625 1719631981.8253
MEM 470.515625 1719631981.9261
MEM 472.890625 1719631982.0288
MEM 474.640625 1719631982.1296
MEM 476.765625 1719631982.2304
MEM 478.390625 1719631982.3312
MEM 479.765625 1719631982.4320
MEM 480.015625 1719631982.5330
MEM 482.390625 1719631982.6338
MEM 484.765625 1719631982.7345
MEM 488.015625 1719631982.8354
MEM 490.140625 1719631982.9362
MEM 490.390625 1719631983.0370
MEM 492.640625 1719631983.1379
MEM 497.765625 1719631983.2386
MEM 501.390625 1719631983.3394
MEM 504.390625 1719631983.4402
MEM 504.640625 1719631983.5410
MEM 504.765625 1719631983.6418
MEM 508.390625 1719631983.7425
MEM 508.640625 1719631983.8433
MEM 509.515625 1719631983.9441
MEM 509.515625 1719631984.0449
MEM 517.890625 1719631984.1457
MEM 529.640625 1719631984.2465
MEM 540.515625 1719631984.3473
MEM 550.765625 1719631984.4481
MEM 556.765625 1719631984.5490
MEM 566.007812 1719631984.6498
MEM 636.855469 1719631984.7507
MEM 780.730469 1719631984.8546
MEM 698.347656 1719631984.9569
MEM 698.347656 1719631985.0579
MEM 699.597656 1719631985.1586
MEM 700.472656 1719631985.2594
MEM 703.847656 1719631985.3603
MEM 705.347656 1719631985.4612
MEM 784.597656 1719631985.5620
MEM 1024.722656 1719631985.6650
MEM 1182.597656 1719631985.7658
MEM 1307.222656 1719631985.8665
MEM 1433.097656 1719631985.9674
MEM 1486.972656 1719631986.0706
MEM 1486.972656 1719631986.1746
MEM 1486.972656 1719631986.2786
MEM 1486.972656 1719631986.3796
MEM 1486.972656 1719631986.4826
MEM 1486.972656 1719631986.5839
MEM 1486.972656 1719631986.6864
MEM 1486.972656 1719631986.7874
MEM 1486.972656 1719631986.8883
MEM 1494.597656 1719631986.9891
MEM 1519.097656 1719631987.0899
MEM 1543.222656 1719631987.1906
MEM 1567.222656 1719631987.2945
MEM 1591.472656 1719631987.3981
MEM 1614.347656 1719631987.4986
MEM 1637.972656 1719631987.6026
MEM 1668.597656 1719631987.7034
MEM 1265.558594 1719631987.8042
MEM 1214.703125 1719631987.9066
MEM 1447.578125 1719631988.0105
MEM 1617.828125 1719631988.1146
MEM 1837.328125 1719631988.2186
MEM 1373.507812 1719631988.3194
MEM 1097.777344 1719631988.4203
MEM 1108.777344 1719631988.5212
MEM 1110.734375 1719631988.6220
MEM 1129.609375 1719631988.7230
MEM 1147.734375 1719631988.8238
MEM 1147.859375 1719631988.9247
MEM 1147.859375 1719631989.0256
MEM 1183.109375 1719631989.1265
MEM 1243.859375 1719631989.2306
MEM 1252.859375 1719631989.3345
MEM 1218.824219 1719631989.4386
MEM 1197.328125 1719631989.5394
MEM 1225.328125 1719631989.6425
MEM 1229.328125 1719631989.7465
MEM 1229.328125 1719631989.8505
MEM 1229.328125 1719631989.9546
MEM 1229.328125 1719631990.0585
MEM 1229.328125 1719631990.1625
MEM 1229.328125 1719631990.2666
MEM 1237.328125 1719631990.3674
MEM 1245.453125 1719631990.4682
MEM 1245.953125 1719631990.5691
MEM 1269.703125 1719631990.6700
MEM 1280.953125 1719631990.7705
MEM 1308.953125 1719631990.8714
MEM 1317.078125 1719631990.9740
MEM 1317.078125 1719631991.0769
MEM 1317.078125 1719631991.1816
MEM 1317.078125 1719631991.2835
