CMDLINE python3 train_vishwamai_model.py
MEM 0.375000 1718917679.0493
MEM 13.480469 1718917679.1497
MEM 18.097656 1718917679.2505
MEM 24.847656 1718917679.3512
MEM 32.472656 1718917679.4523
MEM 35.972656 1718917679.5531
MEM 40.097656 1718917679.6538
MEM 48.847656 1718917679.7548
MEM 60.097656 1718917679.8577
MEM 67.097656 1718917679.9618
MEM 69.847656 1718917680.0627
MEM 74.972656 1718917680.1635
MEM 80.847656 1718917680.2646
MEM 88.597656 1718917680.3654
MEM 99.097656 1718917680.4657
MEM 111.972656 1718917680.5666
MEM 123.097656 1718917680.6674
MEM 129.222656 1718917680.7682
MEM 136.222656 1718917680.8690
MEM 143.097656 1718917680.9697
MEM 149.597656 1718917681.0705
MEM 157.847656 1718917681.1713
MEM 165.847656 1718917681.2720
MEM 173.722656 1718917681.3728
MEM 183.597656 1718917681.4737
MEM 193.347656 1718917681.5746
MEM 203.222656 1718917681.6754
MEM 211.722656 1718917681.7762
MEM 221.472656 1718917681.8770
MEM 230.222656 1718917681.9778
MEM 237.972656 1718917682.0786
MEM 246.222656 1718917682.1793
MEM 255.347656 1718917682.2801
MEM 263.847656 1718917682.3808
MEM 267.472656 1718917682.4816
MEM 272.742188 1718917682.5824
MEM 275.742188 1718917682.6832
MEM 279.992188 1718917682.7840
MEM 283.367188 1718917682.8848
MEM 286.617188 1718917682.9858
MEM 289.867188 1718917683.0865
MEM 293.992188 1718917683.1873
MEM 296.492188 1718917683.2881
MEM 299.742188 1718917683.3889
MEM 301.867188 1718917683.4897
MEM 304.617188 1718917683.5902
MEM 308.992188 1718917683.6910
MEM 314.492188 1718917683.7917
MEM 318.617188 1718917683.8925
MEM 324.617188 1718917683.9933
MEM 329.113281 1718917684.0937
MEM 333.363281 1718917684.1946
MEM 336.613281 1718917684.2954
MEM 337.988281 1718917684.3961
MEM 341.738281 1718917684.4980
MEM 345.863281 1718917684.5988
MEM 349.613281 1718917684.6995
MEM 354.363281 1718917684.8003
MEM 359.238281 1718917684.9010
MEM 361.988281 1718917685.0017
MEM 367.738281 1718917685.1025
MEM 371.488281 1718917685.2032
MEM 373.238281 1718917685.3041
MEM 374.988281 1718917685.4049
MEM 377.238281 1718917685.5057
MEM 385.738281 1718917685.6064
MEM 393.613281 1718917685.7068
MEM 399.988281 1718917685.8076
MEM 407.738281 1718917685.9084
MEM 415.863281 1718917686.0096
MEM 418.988281 1718917686.1104
MEM 421.863281 1718917686.2112
MEM 426.613281 1718917686.3120
MEM 432.363281 1718917686.4128
MEM 435.738281 1718917686.5137
MEM 438.113281 1718917686.6145
MEM 440.613281 1718917686.7153
MEM 447.863281 1718917686.8161
MEM 449.613281 1718917686.9170
MEM 450.113281 1718917687.0177
MEM 454.929688 1718917687.1185
MEM 457.429688 1718917687.2193
MEM 457.804688 1718917687.3201
MEM 459.054688 1718917687.4208
MEM 459.429688 1718917687.5216
MEM 460.554688 1718917687.6224
MEM 463.304688 1718917687.7231
MEM 466.554688 1718917687.8239
MEM 469.929688 1718917687.9247
MEM 471.179688 1718917688.0260
MEM 472.804688 1718917688.1268
MEM 480.554688 1718917688.2276
MEM 488.679688 1718917688.3284
MEM 495.429688 1718917688.4292
MEM 502.304688 1718917688.5298
MEM 509.304688 1718917688.6304
MEM 512.179688 1718917688.7312
MEM 517.804688 1718917688.8320
MEM 521.804688 1718917688.9328
MEM 525.429688 1718917689.0336
MEM 528.054688 1718917689.1344
MEM 529.179688 1718917689.2351
MEM 533.429688 1718917689.3374
MEM 533.429688 1718917689.4383
MEM 535.804688 1718917689.5390
MEM 539.929688 1718917689.6398
MEM 541.554688 1718917689.7406
MEM 543.929688 1718917689.8417
MEM 544.679688 1718917689.9425
MEM 545.804688 1718917690.0433
MEM 548.179688 1718917690.1442
MEM 549.304688 1718917690.2449
MEM 551.679688 1718917690.3457
MEM 554.429688 1718917690.4497
MEM 554.679688 1718917690.5538
MEM 554.929688 1718917690.6546
MEM 555.304688 1718917690.7554
MEM 556.179688 1718917690.8562
MEM 567.054688 1718917690.9566
MEM 572.429688 1718917691.0574
MEM 572.554688 1718917691.1578
MEM 572.554688 1718917691.2586
MEM 572.804688 1718917691.3594
MEM 572.804688 1718917691.4602
MEM 572.804688 1718917691.5610
MEM 572.804688 1718917691.6618
MEM 572.804688 1718917691.7626
MEM 572.929688 1718917691.8634
MEM 572.929688 1718917691.9642
MEM 573.054688 1718917692.0651
MEM 573.054688 1718917692.1657
MEM 573.179688 1718917692.2666
MEM 573.179688 1718917692.3674
MEM 573.179688 1718917692.4682
MEM 573.429688 1718917692.5690
MEM 573.804688 1718917692.6698
MEM 573.804688 1718917692.7706
MEM 573.929688 1718917692.8714
MEM 573.929688 1718917692.9722
MEM 573.929688 1718917693.0730
MEM 574.054688 1718917693.1739
MEM 574.054688 1718917693.2747
MEM 574.054688 1718917693.3755
MEM 574.054688 1718917693.4763
MEM 574.054688 1718917693.5771
MEM 574.054688 1718917693.6777
MEM 574.054688 1718917693.7785
MEM 574.054688 1718917693.8793
MEM 574.054688 1718917693.9801
MEM 574.054688 1718917694.0809
MEM 574.054688 1718917694.1818
MEM 574.054688 1718917694.2826
MEM 574.054688 1718917694.3834
MEM 574.054688 1718917694.4842
MEM 574.054688 1718917694.5851
MEM 574.054688 1718917694.6858
MEM 574.054688 1718917694.7867
MEM 574.054688 1718917694.8871
MEM 574.054688 1718917694.9880
MEM 574.304688 1718917695.0888
MEM 574.429688 1718917695.1897
MEM 574.429688 1718917695.2904
MEM 574.554688 1718917695.3912
MEM 574.679688 1718917695.4938
MEM 574.679688 1718917695.5946
MEM 574.679688 1718917695.6953
MEM 577.054688 1718917695.7961
MEM 577.054688 1718917695.8969
MEM 577.054688 1718917695.9981
MEM 586.429688 1718917696.0989
MEM 596.179688 1718917696.1997
MEM 606.679688 1718917696.3004
MEM 608.304688 1718917696.4012
MEM 615.554688 1718917696.5018
MEM 619.929688 1718917696.6026
