CMDLINE python3 train_vishwamai_model.py
MEM 0.375000 1718918416.7460
MEM 13.250000 1718918416.8467
MEM 17.699219 1718918416.9475
MEM 24.324219 1718918417.0483
MEM 32.574219 1718918417.1488
MEM 36.824219 1718918417.2496
MEM 42.699219 1718918417.3505
MEM 59.199219 1718918417.4513
MEM 71.949219 1718918417.5521
MEM 77.824219 1718918417.6529
MEM 86.199219 1718918417.7534
MEM 97.824219 1718918417.8538
MEM 109.574219 1718918417.9551
MEM 119.574219 1718918418.0560
MEM 127.199219 1718918418.1578
MEM 133.949219 1718918418.2586
MEM 141.824219 1718918418.3593
MEM 148.574219 1718918418.4601
MEM 157.699219 1718918418.5610
MEM 166.074219 1718918418.6618
MEM 174.824219 1718918418.7626
MEM 184.199219 1718918418.8634
MEM 194.074219 1718918418.9641
MEM 203.574219 1718918419.0649
MEM 212.199219 1718918419.1657
MEM 220.074219 1718918419.2665
MEM 229.449219 1718918419.3673
MEM 237.074219 1718918419.4680
MEM 245.074219 1718918419.5688
MEM 254.074219 1718918419.6696
MEM 263.449219 1718918419.7704
MEM 266.949219 1718918419.8713
MEM 272.375000 1718918419.9721
MEM 275.500000 1718918420.0729
MEM 279.750000 1718918420.1737
MEM 283.000000 1718918420.2745
MEM 286.500000 1718918420.3753
MEM 289.500000 1718918420.4761
MEM 293.750000 1718918420.5768
MEM 296.250000 1718918420.6774
MEM 299.375000 1718918420.7778
MEM 301.750000 1718918420.8786
MEM 304.500000 1718918420.9794
MEM 308.750000 1718918421.0801
MEM 314.000000 1718918421.1809
MEM 318.125000 1718918421.2818
MEM 324.375000 1718918421.3825
MEM 328.308594 1718918421.4833
MEM 333.058594 1718918421.5841
MEM 336.433594 1718918421.6848
MEM 338.058594 1718918421.7857
MEM 341.933594 1718918421.8865
MEM 345.683594 1718918421.9875
MEM 348.058594 1718918422.0883
MEM 351.308594 1718918422.1892
MEM 357.058594 1718918422.2898
MEM 360.683594 1718918422.3932
MEM 364.183594 1718918422.4940
MEM 369.683594 1718918422.5948
MEM 373.183594 1718918422.6956
MEM 375.058594 1718918422.7964
MEM 377.308594 1718918422.8972
