CMDLINE python3 train_vishwamai_model.py
MEM 5.250000 1718985108.1742
MEM 14.375000 1718985108.2779
MEM 17.375000 1718985108.3818
MEM 24.097656 1718985108.4826
MEM 27.972656 1718985108.5858
MEM 37.222656 1718985108.6898
MEM 47.597656 1718985108.7931
MEM 73.097656 1718985108.8978
MEM 117.347656 1718985109.0018
MEM 121.722656 1718985109.1068
MEM 125.347656 1718985109.2092
MEM 127.472656 1718985109.3099
MEM 129.347656 1718985109.4138
MEM 152.972656 1718985109.5183
MEM 202.097656 1718985109.6218
MEM 225.972656 1718985109.7228
MEM 271.472656 1718985109.8266
MEM 274.597656 1718985109.9298
MEM 276.222656 1718985110.0339
MEM 281.660156 1718985110.1370
MEM 283.410156 1718985110.2379
MEM 283.785156 1718985110.3418
MEM 285.035156 1718985110.4426
MEM 286.910156 1718985110.5435
MEM 288.660156 1718985110.6459
MEM 289.160156 1718985110.7499
MEM 291.035156 1718985110.8536
MEM 293.160156 1718985110.9581
MEM 295.285156 1718985111.0618
MEM 297.910156 1718985111.1658
MEM 299.910156 1718985111.2699
MEM 302.410156 1718985111.3739
MEM 303.035156 1718985111.4778
MEM 304.535156 1718985111.5818
MEM 305.285156 1718985111.6858
MEM 308.410156 1718985111.7898
MEM 309.410156 1718985111.8940
MEM 310.660156 1718985111.9979
MEM 313.410156 1718985112.1018
MEM 317.285156 1718985112.2040
MEM 322.910156 1718985112.3098
MEM 326.410156 1718985112.4139
MEM 327.785156 1718985112.5178
MEM 334.410156 1718985112.6201
MEM 339.542969 1718985112.7210
MEM 342.542969 1718985112.8221
MEM 344.292969 1718985112.9258
MEM 347.167969 1718985113.0298
MEM 349.542969 1718985113.1338
MEM 355.667969 1718985113.2349
MEM 368.917969 1718985113.3378
MEM 378.542969 1718985113.4387
MEM 382.292969 1718985113.5395
MEM 386.792969 1718985113.6418
MEM 429.167969 1718985113.7459
MEM 431.792969 1718985113.8498
MEM 440.167969 1718985113.9534
MEM 446.167969 1718985114.0539
MEM 448.667969 1718985114.1579
MEM 451.167969 1718985114.2618
MEM 461.042969 1718985114.3658
MEM 462.542969 1718985114.4699
MEM 468.433594 1718985114.5738
MEM 470.433594 1718985114.6778
MEM 476.683594 1718985114.7820
MEM 481.558594 1718985114.8858
MEM 499.558594 1718985114.9898
MEM 521.183594 1718985115.0938
MEM 525.808594 1718985115.1952
MEM 533.433594 1718985115.2961
MEM 539.308594 1718985115.3968
MEM 545.683594 1718985115.4978
MEM 549.558594 1718985115.6018
MEM 551.433594 1718985115.7058
MEM 554.808594 1718985115.8099
MEM 558.058594 1718985115.9139
MEM 560.558594 1718985116.0178
MEM 563.933594 1718985116.1218
MEM 564.933594 1718985116.2258
MEM 565.058594 1718985116.3266
MEM 565.183594 1718985116.4298
MEM 565.183594 1718985116.5345
MEM 565.558594 1718985116.6378
MEM 565.683594 1718985116.7418
MEM 566.183594 1718985116.8458
MEM 569.183594 1718985116.9498
MEM 569.183594 1718985117.0532
MEM 569.183594 1718985117.1539
MEM 603.308594 1718985117.2578
MEM 603.808594 1718985117.3618
MEM 619.058594 1718985117.4631
MEM 623.808594 1718985117.5658
MEM 624.308594 1718985117.6698
MEM 626.433594 1718985117.7706
MEM 626.808594 1718985117.8714
MEM 626.933594 1718985117.9722
MEM 627.183594 1718985118.0730
MEM 629.558594 1718985118.1738
MEM 633.433594 1718985118.2778
MEM 633.558594 1718985118.3818
MEM 633.683594 1718985118.4827
MEM 633.808594 1718985118.5835
MEM 633.808594 1718985118.6844
MEM 636.308594 1718985118.7858
MEM 638.308594 1718985118.8878
MEM 639.808594 1718985118.9887
MEM 651.183594 1718985119.0898
MEM 659.875000 1718985119.1938
MEM 660.566406 1718985119.2947
MEM 660.691406 1718985119.3955
MEM 660.816406 1718985119.4964
MEM 660.941406 1718985119.5972
MEM 661.066406 1718985119.6978
MEM 661.191406 1718985119.7986
MEM 661.191406 1718985119.8995
MEM 661.191406 1718985120.0004
MEM 661.191406 1718985120.1013
MEM 661.941406 1718985120.2018
MEM 663.941406 1718985120.3026
MEM 671.316406 1718985120.4030
MEM 674.066406 1718985120.5039
MEM 676.066406 1718985120.6047
MEM 677.566406 1718985120.7055
MEM 680.066406 1718985120.8058
MEM 681.941406 1718985120.9067
MEM 683.441406 1718985121.0075
MEM 683.566406 1718985121.1083
MEM 683.691406 1718985121.2092
MEM 683.816406 1718985121.3100
MEM 683.816406 1718985121.4108
MEM 686.566406 1718985121.5117
MEM 688.066406 1718985121.6126
MEM 688.316406 1718985121.7134
MEM 690.066406 1718985121.8178
MEM 690.066406 1718985121.9187
MEM 690.191406 1718985122.0218
MEM 690.316406 1718985122.1226
MEM 690.316406 1718985122.2234
MEM 690.941406 1718985122.3243
MEM 692.316406 1718985122.4251
MEM 694.066406 1718985122.5258
MEM 694.441406 1718985122.6267
MEM 697.191406 1718985122.7275
MEM 698.691406 1718985122.8283
MEM 698.816406 1718985122.9291
MEM 698.816406 1718985123.0300
MEM 699.816406 1718985123.1308
MEM 701.191406 1718985123.2317
MEM 703.191406 1718985123.3326
MEM 703.566406 1718985123.4335
MEM 705.691406 1718985123.5338
MEM 705.691406 1718985123.6347
MEM 705.816406 1718985123.7355
MEM 705.941406 1718985123.8363
MEM 705.941406 1718985123.9372
MEM 706.441406 1718985124.0379
MEM 708.816406 1718985124.1387
MEM 709.941406 1718985124.2395
MEM 712.066406 1718985124.3404
MEM 713.816406 1718985124.4412
MEM 716.066406 1718985124.5418
MEM 718.316406 1718985124.6427
MEM 719.066406 1718985124.7433
MEM 719.191406 1718985124.8441
MEM 719.191406 1718985124.9460
MEM 719.316406 1718985125.0468
MEM 720.316406 1718985125.1476
MEM 721.816406 1718985125.2485
MEM 723.441406 1718985125.3493
MEM 729.691406 1718985125.4498
MEM 731.066406 1718985125.5503
MEM 731.191406 1718985125.6511
MEM 747.816406 1718985125.7528
MEM 748.500000 1718985125.8536
MEM 748.625000 1718985125.9578
MEM 748.750000 1718985126.0587
MEM 748.875000 1718985126.1595
MEM 750.125000 1718985126.2603
MEM 752.125000 1718985126.3612
MEM 753.125000 1718985126.4620
MEM 753.375000 1718985126.5629
MEM 794.000000 1718985126.6658
MEM 849.750000 1718985126.7698
MEM 910.218750 1718985126.8707
MEM 882.593750 1718985126.9715
MEM 864.464844 1718985127.0738
MEM 1011.589844 1718985127.1762
MEM 889.800781 1718985127.2778
MEM 945.175781 1718985127.3812
MEM 1053.550781 1718985127.4836
MEM 1007.003906 1718985127.5858
MEM 950.503906 1718985127.6869
MEM 1089.003906 1718985127.7878
MEM 1197.628906 1718985127.8886
MEM 1301.128906 1718985127.9895
MEM 1406.253906 1718985128.0900
MEM 1518.128906 1718985128.1938
MEM 1462.632812 1718985128.2946
MEM 1597.257812 1718985128.3978
MEM 1812.507812 1718985128.5018
MEM 1861.386719 1718985128.6027
MEM 1463.281250 1718985128.7035
MEM 1469.906250 1718985128.8043
MEM 1479.781250 1718985128.9051
MEM 1572.031250 1718985129.0060
MEM 1780.156250 1718985129.1070
MEM 1987.031250 1718985129.2078
MEM 2067.031250 1718985129.3098
MEM 2222.531250 1718985129.4138
MEM 2374.406250 1718985129.5178
MEM 2472.234375 1718985129.6186
MEM 1994.246094 1718985129.7193
MEM 1998.871094 1718985129.8202
MEM 2180.746094 1718985129.9218
MEM 2386.121094 1718985130.0224
MEM 2286.062500 1718985130.1258
MEM 1999.007812 1718985130.2267
MEM 2055.757812 1718985130.3299
MEM 2079.507812 1718985130.4338
MEM 2096.257812 1718985130.5378
MEM 2114.632812 1718985130.6425
MEM 2063.058594 1718985130.7433
MEM 2063.078125 1718985130.8441
MEM 2075.078125 1718985130.9451
MEM 2095.578125 1718985131.0462
MEM 2116.828125 1718985131.1498
MEM 2236.578125 1718985131.2527
MEM 1605.027344 1718985131.3536
MEM 873.156250 1718985131.4578
MEM 850.031250 1718985131.5618
MEM 871.906250 1718985131.6658
MEM 893.656250 1718985131.7693
MEM 831.042969 1718985131.8698
MEM 831.042969 1718985131.9706
MEM 831.167969 1718985132.0714
MEM 831.292969 1718985132.1722
MEM 831.292969 1718985132.2731
MEM 831.292969 1718985132.3738
MEM 831.292969 1718985132.4746
MEM 837.667969 1718985132.5778
MEM 859.667969 1718985132.6818
MEM 877.042969 1718985132.7859
MEM 767.339844 1718985132.8938
MEM 825.464844 1718985132.9978
MEM 889.839844 1718985133.1018
MEM 919.570312 1718985133.2026
MEM 868.941406 1718985133.3059
MEM 934.191406 1718985133.4098
MEM 941.003906 1718985133.5107
MEM 947.878906 1718985133.6138
MEM 1060.753906 1718985133.7178
MEM 1027.527344 1718985133.8186
MEM 1115.917969 1718985133.9219
MEM 1220.542969 1718985134.0231
MEM 1329.042969 1718985134.1258
MEM 1441.542969 1718985134.2299
MEM 1545.042969 1718985134.3309
MEM 1509.902344 1718985134.4317
MEM 1691.171875 1718985134.5338
MEM 1915.421875 1718985134.6378
MEM 1647.531250 1718985134.7386
MEM 1503.542969 1718985134.8418
MEM 1546.542969 1718985134.9451
MEM 1760.792969 1718985135.0498
MEM 1984.042969 1718985135.1526
MEM 2144.292969 1718985135.2538
MEM 2290.292969 1718985135.3578
MEM 2402.917969 1718985135.4618
MEM 2512.667969 1718985135.5627
MEM 2023.539062 1718985135.6659
MEM 2186.164062 1718985135.7698
MEM 2404.164062 1718985135.8739
MEM 2308.355469 1718985135.9747
MEM 2088.773438 1718985136.0778
MEM 2107.273438 1718985136.1818
MEM 2125.648438 1718985136.2858
MEM 2144.148438 1718985136.3905
MEM 2119.523438 1718985136.4913
MEM 2100.773438 1718985136.5938
MEM 2122.148438 1718985136.6966
MEM 2143.023438 1718985136.7978
MEM 2279.023438 1718985136.8995
MEM 1580.722656 1718985137.0003
MEM 871.539062 1718985137.1011
MEM 843.539062 1718985137.2058
MEM 865.664062 1718985137.3098
MEM 887.289062 1718985137.4138
MEM 823.417969 1718985137.5146
MEM 845.167969 1718985137.6178
MEM 791.398438 1718985137.7186
MEM 846.023438 1718985137.8219
MEM 917.273438 1718985137.9258
MEM 918.683594 1718985138.0267
MEM 923.183594 1718985138.1298
MEM 1036.183594 1718985138.2338
MEM 1000.953125 1718985138.3346
MEM 1007.343750 1718985138.4419
MEM 1149.843750 1718985138.5459
MEM 1022.878906 1718985138.6467
MEM 1091.378906 1718985138.7499
MEM 1223.003906 1718985138.8524
MEM 1331.628906 1718985138.9539
MEM 1439.128906 1718985139.0579
MEM 1551.503906 1718985139.1619
MEM 1658.628906 1718985139.2627
MEM 1701.351562 1718985139.3658
MEM 1912.101562 1718985139.4668
MEM 1808.957031 1718985139.5676
MEM 1534.972656 1718985139.6698
MEM 1551.222656 1718985139.7738
MEM 1778.097656 1718985139.8778
MEM 1996.222656 1718985139.9818
MEM 2156.472656 1718985140.0858
MEM 2310.972656 1718985140.1898
MEM 2467.597656 1718985140.2938
MEM 2308.953125 1718985140.3946
MEM 2118.343750 1718985140.4978
MEM 2312.593750 1718985140.6018
MEM 2482.718750 1718985140.7060
MEM 2196.960938 1718985140.8068
MEM 2114.484375 1718985140.9098
MEM 2131.984375 1718985141.0138
MEM 2150.234375 1718985141.1178
MEM 2168.734375 1718985141.2222
MEM 2148.785156 1718985141.3231
MEM 2124.660156 1718985141.4258
MEM 2146.660156 1718985141.5305
MEM 2168.285156 1718985141.6338
MEM 2238.917969 1718985141.7346
MEM 1528.878906 1718985141.8354
MEM 863.015625 1718985141.9363
MEM 884.390625 1718985142.0371
MEM 905.640625 1718985142.1379
MEM 927.015625 1718985142.2399
MEM 863.796875 1718985142.3424
MEM 885.421875 1718985142.4438
MEM 831.070312 1718985142.5446
MEM 854.316406 1718985142.6458
MEM 951.441406 1718985142.7498
MEM 947.492188 1718985142.8507
MEM 937.617188 1718985142.9538
MEM 1083.992188 1718985143.0546
MEM 966.496094 1718985143.1578
MEM 1021.621094 1718985143.2612
MEM 1039.714844 1718985143.3619
MEM 1084.339844 1718985143.4653
MEM 1216.589844 1718985143.5658
MEM 1322.839844 1718985143.6689
MEM 1429.714844 1718985143.7699
MEM 1542.464844 1718985143.8738
MEM 1649.464844 1718985143.9778
MEM 1677.949219 1718985144.0818
MEM 1847.074219 1718985144.1856
MEM 1986.324219 1718985144.2876
MEM 1743.906250 1718985144.3884
MEM 1534.964844 1718985144.4898
MEM 1546.714844 1718985144.5938
MEM 1773.089844 1718985144.6979
MEM 1999.089844 1718985144.8019
MEM 2158.714844 1718985144.9059
MEM 2287.464844 1718985145.0099
MEM 2401.464844 1718985145.1139
MEM 2549.089844 1718985145.2147
MEM 2046.976562 1718985145.3179
MEM 2259.226562 1718985145.4218
MEM 2470.976562 1718985145.5259
MEM 2178.894531 1718985145.6267
MEM 2110.917969 1718985145.7287
MEM 2128.542969 1718985145.8296
MEM 2144.542969 1718985145.9338
MEM 2159.667969 1718985146.0379
MEM 2174.917969 1718985146.1421
MEM 2113.988281 1718985146.2458
MEM 2136.363281 1718985146.3530
MEM 2158.613281 1718985146.4578
MEM 2213.863281 1718985146.5619
MEM 1906.910156 1718985146.6627
MEM 1167.867188 1718985146.7635
MEM 874.796875 1718985146.8658
