CMDLINE python3 train_vishwamai_model.py
MEM 2112.078125 1718984197.1538
MEM 2189.328125 1718984197.2547
MEM 1788.843750 1718984197.3555
MEM 1081.917969 1718984197.4563
MEM 842.976562 1718984197.5579
MEM 864.726562 1718984197.6618
MEM 886.476562 1718984197.7658
MEM 1020.851562 1718984197.8693
MEM 830.992188 1718984197.9702
MEM 831.117188 1718984198.0710
MEM 831.117188 1718984198.1718
MEM 831.117188 1718984198.2727
MEM 831.117188 1718984198.3733
MEM 831.117188 1718984198.4739
MEM 832.492188 1718984198.5778
MEM 854.367188 1718984198.6818
MEM 863.117188 1718984198.7827
MEM 895.207031 1718984198.8834
MEM 809.070312 1718984198.9858
MEM 900.320312 1718984199.0899
MEM 904.515625 1718984199.1912
MEM 896.890625 1718984199.2920
MEM 1037.765625 1718984199.3929
MEM 924.929688 1718984199.4938
MEM 980.179688 1718984199.5978
MEM 994.937500 1718984199.6986
MEM 1040.187500 1718984199.8019
MEM 1176.812500 1718984199.9058
MEM 1286.812500 1718984200.0099
MEM 1398.437500 1718984200.1140
MEM 1476.687500 1718984200.2178
MEM 1545.312500 1718984200.3218
MEM 1613.562500 1718984200.4245
MEM 1576.621094 1718984200.5258
MEM 1782.871094 1718984200.6298
MEM 1981.746094 1718984200.7307
MEM 1496.214844 1718984200.8338
MEM 1506.089844 1718984200.9378
MEM 1604.214844 1718984201.0419
MEM 1823.214844 1718984201.1428
MEM 2035.589844 1718984201.2458
MEM 2188.714844 1718984201.3498
MEM 2348.839844 1718984201.4538
MEM 2505.464844 1718984201.5566
MEM 2023.460938 1718984201.6578
MEM 2193.585938 1718984201.7618
MEM 2415.335938 1718984201.8658
MEM 2232.445312 1718984201.9666
MEM 2090.878906 1718984202.0698
MEM 2109.253906 1718984202.1732
MEM 2127.003906 1718984202.2739
MEM 2145.503906 1718984202.3778
MEM 2131.882812 1718984202.4786
MEM 2103.007812 1718984202.5818
MEM 2124.507812 1718984202.6858
MEM 2146.132812 1718984202.7898
MEM 2177.605469 1718984202.8913
MEM 1466.996094 1718984202.9921
MEM 824.585938 1718984203.0938
MEM 846.335938 1718984203.1978
MEM 868.085938 1718984203.3018
MEM 914.210938 1718984203.4058
MEM 828.617188 1718984203.5082
MEM 849.742188 1718984203.6090
MEM 791.421875 1718984203.7098
MEM 860.296875 1718984203.8138
MEM 976.921875 1718984203.9178
MEM 912.804688 1718984204.0187
MEM 944.070312 1718984204.1218
MEM 1026.773438 1718984204.2227
MEM 967.406250 1718984204.3247
MEM 1021.406250 1718984204.4256
MEM 1033.187500 1718984204.5260
MEM 1080.312500 1718984204.6299
MEM 1217.687500 1718984204.7338
MEM 1326.187500 1718984204.8378
MEM 1437.812500 1718984204.9418
MEM 1546.562500 1718984205.0428
MEM 1652.812500 1718984205.1437
MEM 1676.937500 1718984205.2445
MEM 1886.562500 1718984205.3458
MEM 1895.281250 1718984205.4499
MEM 1534.808594 1718984205.5538
MEM 1534.808594 1718984205.6564
MEM 1650.808594 1718984205.7580
MEM 1764.558594 1718984205.8618
MEM 1905.933594 1718984205.9659
MEM 2085.308594 1718984206.0698
MEM 2235.433594 1718984206.1738
MEM 2392.933594 1718984206.2778
MEM 2540.558594 1718984206.3786
MEM 2046.808594 1718984206.4819
MEM 2228.683594 1718984206.5858
MEM 2452.558594 1718984206.6897
MEM 2198.777344 1718984206.7906
MEM 2114.804688 1718984206.8938
MEM 2133.429688 1718984206.9978
MEM 2151.929688 1718984207.1018
MEM 2170.179688 1718984207.2059
MEM 2163.933594 1718984207.3076
MEM 2126.308594 1718984207.4084
MEM 2146.808594 1718984207.5092
MEM 2167.433594 1718984207.6099
MEM 2268.761719 1718984207.7107
MEM 1572.746094 1718984207.8115
MEM 884.773438 1718984207.9124
MEM 882.261719 1718984208.0138
MEM 904.011719 1718984208.1178
MEM 925.636719 1718984208.2218
MEM 862.882812 1718984208.3226
MEM 883.632812 1718984208.4234
MEM 850.906250 1718984208.5242
MEM 853.792969 1718984208.6250
MEM 951.667969 1718984208.7260
MEM 950.734375 1718984208.8268
MEM 938.984375 1718984208.9298
MEM 1085.359375 1718984209.0307
MEM 966.074219 1718984209.1338
MEM 1021.199219 1718984209.2378
MEM 1036.609375 1718984209.3387
MEM 1081.109375 1718984209.4420
MEM 1219.859375 1718984209.5459
MEM 1330.359375 1718984209.6523
MEM 1435.234375 1718984209.7531
MEM 1541.609375 1718984209.8539
MEM 1649.984375 1718984209.9547
MEM 1671.984375 1718984210.0578
MEM 1903.609375 1718984210.1659
MEM 1819.437500 1718984210.2667
MEM 1534.730469 1718984210.3698
MEM 1534.730469 1718984210.4720
MEM 1750.855469 1718984210.5740
MEM 1961.480469 1718984210.6779
MEM 2078.355469 1718984210.7811
MEM 2214.230469 1718984210.8833
MEM 2369.355469 1718984210.9858
MEM 2519.605469 1718984211.0898
MEM 2142.031250 1718984211.1939
MEM 2096.238281 1718984211.2978
MEM 2212.988281 1718984211.4018
MEM 2413.113281 1718984211.5058
MEM 2331.507812 1718984211.6066
MEM 2111.550781 1718984211.7074
MEM 2129.425781 1718984211.8083
MEM 2147.300781 1718984211.9091
MEM 2165.300781 1718984212.0099
MEM 2131.054688 1718984212.1108
MEM 2122.304688 1718984212.2138
MEM 2143.554688 1718984212.3178
MEM 2164.929688 1718984212.4218
MEM 2292.054688 1718984212.5258
MEM 1641.847656 1718984212.6270
MEM 920.902344 1718984212.7278
MEM 882.156250 1718984212.8298
MEM 903.531250 1718984212.9338
MEM 925.156250 1718984213.0378
MEM 862.953125 1718984213.1386
MEM 885.453125 1718984213.2458
MEM 830.859375 1718984213.3466
MEM 894.859375 1718984213.4475
MEM 894.890625 1718984213.5484
MEM 887.046875 1718984213.6492
MEM 895.046875 1718984213.7501
MEM 895.171875 1718984213.8509
MEM 895.171875 1718984213.9517
MEM 895.296875 1718984214.0526
MEM 895.296875 1718984214.1534
MEM 895.296875 1718984214.2539
MEM 919.296875 1718984214.3548
MEM 924.921875 1718984214.4556
MEM 927.242188 1718984214.5578
MEM 931.492188 1718984214.6587
MEM 803.539062 1718984214.7595
MEM 803.539062 1718984214.8604
MEM 803.539062 1718984214.9612
MEM 803.539062 1718984215.0618
MEM 803.664062 1718984215.1626
MEM 803.789062 1718984215.2635
MEM 834.039062 1718984215.3643
MEM 887.039062 1718984215.4658
MEM 925.945312 1718984215.5666
MEM 916.574219 1718984215.6698
MEM 989.324219 1718984215.7703
MEM 994.972656 1718984215.8738
MEM 990.597656 1718984215.9778
MEM 1089.472656 1718984216.0786
MEM 1080.781250 1718984216.1795
MEM 1136.281250 1718984216.2818
MEM 1255.531250 1718984216.3858
MEM 1365.531250 1718984216.4893
MEM 1467.781250 1718984216.5899
MEM 1559.531250 1718984216.6939
MEM 1648.281250 1718984216.7979
MEM 1573.300781 1718984216.9018
MEM 1654.425781 1718984217.0051
MEM 1819.175781 1718984217.1060
MEM 2017.175781 1718984217.2068
MEM 1539.882812 1718984217.3098
MEM 1539.882812 1718984217.4138
MEM 1644.132812 1718984217.5178
MEM 1870.132812 1718984217.6218
MEM 2074.882812 1718984217.7258
MEM 2226.507812 1718984217.8298
MEM 2382.882812 1718984217.9338
MEM 2539.132812 1718984218.0378
MEM 2051.878906 1718984218.1419
MEM 2225.003906 1718984218.2458
MEM 2441.628906 1718984218.3498
MEM 2260.816406 1718984218.4506
MEM 2119.000000 1718984218.5538
MEM 2137.500000 1718984218.6578
MEM 2156.000000 1718984218.7618
MEM 2174.125000 1718984218.8658
MEM 2162.503906 1718984218.9667
MEM 2131.003906 1718984219.0698
MEM 2152.503906 1718984219.1725
MEM 2173.628906 1718984219.2739
MEM 2243.878906 1718984219.3747
MEM 1533.269531 1718984219.4755
MEM 901.101562 1718984219.5778
MEM 922.726562 1718984219.6818
MEM 944.601562 1718984219.7858
MEM 988.851562 1718984219.8891
MEM 899.820312 1718984219.9900
MEM 899.820312 1718984220.0911
MEM 835.789062 1718984220.1920
MEM 890.039062 1718984220.2941
MEM 899.792969 1718984220.3949
MEM 920.792969 1718984220.4978
MEM 1012.417969 1718984220.6018
MEM 1013.066406 1718984220.7027
MEM 1005.191406 1718984220.8060
MEM 1153.941406 1718984220.9097
MEM 1047.781250 1718984221.0139
MEM 1184.656250 1718984221.1178
MEM 1266.781250 1718984221.2199
MEM 1356.031250 1718984221.3225
MEM 1462.031250 1718984221.4258
MEM 1568.031250 1718984221.5298
MEM 1630.019531 1718984221.6307
MEM 1728.523438 1718984221.7338
MEM 1936.148438 1718984221.8378
MEM 1785.882812 1718984221.9387
MEM 1539.894531 1718984222.0420
MEM 1563.769531 1718984222.1459
MEM 1785.019531 1718984222.2499
MEM 1980.519531 1718984222.3538
MEM 2090.519531 1718984222.4549
MEM 2171.394531 1718984222.5581
MEM 2326.644531 1718984222.6619
MEM 2482.644531 1718984222.7659
MEM 2260.832031 1718984222.8668
MEM 2145.765625 1718984222.9698
MEM 2368.015625 1718984223.0738
MEM 2526.007812 1718984223.1746
MEM 2095.886719 1718984223.2779
MEM 2131.011719 1718984223.3818
MEM 2149.386719 1718984223.4858
MEM 2167.886719 1718984223.5898
MEM 2115.871094 1718984223.6906
MEM 2124.089844 1718984223.7938
MEM 2145.964844 1718984223.8978
MEM 2167.214844 1718984224.0018
MEM 2273.964844 1718984224.1058
MEM 1697.878906 1718984224.2066
MEM 983.417969 1718984224.3075
MEM 918.136719 1718984224.4098
MEM 940.011719 1718984224.5138
MEM 961.511719 1718984224.6178
MEM 899.867188 1718984224.7186
MEM 899.867188 1718984224.8218
MEM 867.859375 1718984224.9222
MEM 906.109375 1718984225.0260
MEM 1042.484375 1718984225.1298
MEM 937.167969 1718984225.2339
MEM 992.542969 1718984225.3382
MEM 1004.128906 1718984225.4388
MEM 1017.003906 1718984225.5419
MEM 1109.628906 1718984225.6459
MEM 1108.445312 1718984225.7467
MEM 1162.914062 1718984225.8499
MEM 1280.664062 1718984225.9511
MEM 1389.289062 1718984226.0538
MEM 1499.039062 1718984226.1556
MEM 1610.539062 1718984226.2578
MEM 1633.582031 1718984226.3589
MEM 1707.667969 1718984226.4618
MEM 1888.542969 1718984226.5658
MEM 2046.031250 1718984226.6666
