CMDLINE python3 train_vishwamai_model.py
MEM 0.375000 1718916292.8760
MEM 18.617188 1718916292.9768
MEM 35.492188 1718916293.0776
MEM 117.117188 1718916293.1785
MEM 127.117188 1718916293.2792
MEM 208.992188 1718916293.3818
MEM 270.367188 1718916293.4848
MEM 276.949219 1718916293.5858
MEM 280.074219 1718916293.6873
MEM 284.824219 1718916293.7879
MEM 291.324219 1718916293.8887
MEM 297.824219 1718916293.9898
MEM 300.699219 1718916294.0938
MEM 303.074219 1718916294.1946
MEM 308.074219 1718916294.2954
MEM 315.949219 1718916294.3961
MEM 327.449219 1718916294.4973
MEM 337.117188 1718916294.5978
MEM 339.992188 1718916294.6986
MEM 348.492188 1718916294.7994
MEM 362.117188 1718916294.9001
MEM 374.492188 1718916295.0009
MEM 380.867188 1718916295.1019
MEM 417.117188 1718916295.2034
MEM 424.367188 1718916295.3043
MEM 434.242188 1718916295.4047
MEM 438.492188 1718916295.5055
MEM 443.742188 1718916295.6063
MEM 450.492188 1718916295.7068
MEM 455.906250 1718916295.8076
MEM 460.031250 1718916295.9083
MEM 467.906250 1718916296.0092
MEM 473.531250 1718916296.1097
MEM 510.281250 1718916296.2105
MEM 518.781250 1718916296.3113
MEM 525.781250 1718916296.4122
MEM 534.031250 1718916296.5130
MEM 534.031250 1718916296.6138
MEM 541.531250 1718916296.7146
MEM 545.531250 1718916296.8153
MEM 549.531250 1718916296.9163
MEM 553.406250 1718916297.0171
MEM 555.281250 1718916297.1179
MEM 555.656250 1718916297.2186
MEM 556.031250 1718916297.3194
MEM 559.906250 1718916297.4203
MEM 571.781250 1718916297.5211
MEM 572.906250 1718916297.6218
MEM 573.031250 1718916297.7225
MEM 573.031250 1718916297.8234
MEM 573.281250 1718916297.9242
MEM 573.281250 1718916298.0250
MEM 573.281250 1718916298.1258
MEM 573.281250 1718916298.2266
MEM 573.406250 1718916298.3274
MEM 573.406250 1718916298.4282
MEM 573.531250 1718916298.5290
MEM 573.531250 1718916298.6301
MEM 573.656250 1718916298.7309
MEM 573.656250 1718916298.8317
MEM 573.656250 1718916298.9325
MEM 573.781250 1718916299.0334
MEM 574.031250 1718916299.1339
MEM 574.281250 1718916299.2354
MEM 574.406250 1718916299.3362
MEM 574.406250 1718916299.4370
MEM 574.406250 1718916299.5379
MEM 574.406250 1718916299.6418
MEM 574.406250 1718916299.7457
MEM 574.656250 1718916299.8498
MEM 574.656250 1718916299.9506
MEM 574.656250 1718916300.0514
MEM 574.656250 1718916300.1522
MEM 574.656250 1718916300.2530
MEM 574.656250 1718916300.3538
MEM 574.656250 1718916300.4542
MEM 574.656250 1718916300.5550
MEM 574.656250 1718916300.6558
MEM 574.656250 1718916300.7565
MEM 574.656250 1718916300.8574
MEM 574.656250 1718916300.9578
MEM 574.656250 1718916301.0586
MEM 574.656250 1718916301.1593
MEM 574.656250 1718916301.2601
MEM 574.656250 1718916301.3609
MEM 574.656250 1718916301.4618
MEM 574.656250 1718916301.5622
MEM 574.656250 1718916301.6630
MEM 574.906250 1718916301.7638
MEM 575.031250 1718916301.8646
MEM 575.031250 1718916301.9655
MEM 575.156250 1718916302.0663
MEM 575.281250 1718916302.1671
MEM 577.656250 1718916302.2679
MEM 577.656250 1718916302.3687
MEM 577.656250 1718916302.4696
MEM 605.281250 1718916302.5704
MEM 612.656250 1718916302.6712
MEM 616.531250 1718916302.7720
MEM 618.906250 1718916302.8728
MEM 619.031250 1718916302.9737
MEM 619.156250 1718916303.0745
MEM 621.406250 1718916303.1752
MEM 624.156250 1718916303.2760
MEM 624.406250 1718916303.3768
MEM 624.406250 1718916303.4777
MEM 624.531250 1718916303.5785
MEM 624.531250 1718916303.6788
MEM 628.406250 1718916303.7796
MEM 630.281250 1718916303.8818
MEM 647.156250 1718916303.9828
MEM 812.031250 1718916304.0836
MEM 827.406250 1718916304.1846
MEM 827.406250 1718916304.2858
MEM 837.156250 1718916304.3898
MEM 859.531250 1718916304.4938
MEM 729.269531 1718916304.5946
MEM 827.394531 1718916304.6954
MEM 729.554688 1718916304.7962
MEM 731.179688 1718916304.8970
MEM 733.804688 1718916304.9978
MEM 736.929688 1718916305.0986
MEM 737.054688 1718916305.1994
MEM 737.179688 1718916305.3002
MEM 737.304688 1718916305.4010
MEM 737.429688 1718916305.5018
MEM 739.429688 1718916305.6026
MEM 741.054688 1718916305.7034
MEM 743.679688 1718916305.8043
MEM 750.554688 1718916305.9058
MEM 752.929688 1718916306.0066
MEM 758.929688 1718916306.1080
MEM 761.179688 1718916306.2088
MEM 761.304688 1718916306.3097
MEM 764.304688 1718916306.4103
MEM 765.429688 1718916306.5111
MEM 768.179688 1718916306.6119
MEM 771.679688 1718916306.7127
MEM 771.804688 1718916306.8136
MEM 771.804688 1718916306.9144
MEM 771.929688 1718916307.0152
MEM 771.929688 1718916307.1160
MEM 771.929688 1718916307.2169
MEM 771.929688 1718916307.3177
MEM 779.988281 1718916307.4186
MEM 782.128906 1718916307.5194
MEM 785.253906 1718916307.6202
MEM 788.628906 1718916307.7210
MEM 788.753906 1718916307.8218
MEM 788.753906 1718916307.9226
MEM 788.753906 1718916308.0235
MEM 788.753906 1718916308.1244
MEM 796.753906 1718916308.2258
MEM 800.753906 1718916308.3288
MEM 800.753906 1718916308.4301
MEM 800.753906 1718916308.5309
MEM 800.753906 1718916308.6317
MEM 806.003906 1718916308.7325
MEM 806.003906 1718916308.8333
MEM 806.128906 1718916308.9338
MEM 806.253906 1718916309.0346
MEM 806.253906 1718916309.1354
MEM 806.253906 1718916309.2362
MEM 806.253906 1718916309.3371
MEM 806.253906 1718916309.4410
MEM 806.878906 1718916309.5418
MEM 806.878906 1718916309.6456
MEM 806.878906 1718916309.7464
MEM 807.003906 1718916309.8472
MEM 807.003906 1718916309.9484
MEM 807.378906 1718916310.0492
MEM 932.878906 1718916310.1498
MEM 1004.003906 1718916310.2507
MEM 1004.003906 1718916310.3538
MEM 1008.753906 1718916310.4579
MEM 1032.003906 1718916310.5618
MEM 924.992188 1718916310.6659
MEM 949.953125 1718916310.7667
MEM 915.578125 1718916310.8675
MEM 937.578125 1718916310.9683
MEM 939.578125 1718916311.0697
MEM 941.703125 1718916311.1705
MEM 1083.703125 1718916311.2714
MEM 1138.078125 1718916311.3724
MEM 1138.078125 1718916311.4732
MEM 1145.703125 1718916311.5778
MEM 1169.828125 1718916311.6819
MEM 1094.339844 1718916311.7858
MEM 1039.960938 1718916311.8872
MEM 1042.085938 1718916311.9887
MEM 1056.960938 1718916312.0895
MEM 958.882812 1718916312.1911
MEM 958.882812 1718916312.2919
MEM 1124.507812 1718916312.3927
MEM 1155.132812 1718916312.4938
MEM 1155.132812 1718916312.5978
MEM 1168.507812 1718916312.7018
MEM 1193.507812 1718916312.8058
MEM 1147.632812 1718916312.9066
MEM 1057.101562 1718916313.0083
MEM 1057.101562 1718916313.1098
MEM 964.855469 1718916313.2106
MEM 964.980469 1718916313.3143
MEM 1013.605469 1718916313.4160
MEM 1161.105469 1718916313.5179
MEM 1161.105469 1718916313.6218
MEM 1161.105469 1718916313.7258
MEM 1181.355469 1718916313.8285
MEM 1205.855469 1718916313.9297
MEM 1216.867188 1718916314.0338
MEM 1063.078125 1718916314.1346
MEM 1063.078125 1718916314.2354
MEM 964.917969 1718916314.3377
MEM 964.917969 1718916314.4418
MEM 964.917969 1718916314.5426
MEM 971.167969 1718916314.6436
MEM 971.167969 1718916314.7444
MEM 967.402344 1718916314.8450
MEM 1087.652344 1718916314.9498
MEM 1163.777344 1718916315.0507
MEM 1163.777344 1718916315.1517
MEM 1165.527344 1718916315.2538
MEM 1187.527344 1718916315.3577
MEM 1166.777344 1718916315.4585
MEM 1260.328125 1718916315.5606
MEM 1065.632812 1718916315.6616
MEM 1065.632812 1718916315.7624
MEM 1090.882812 1718916315.8633
MEM 1086.601562 1718916315.9643
MEM 1087.851562 1718916316.0651
MEM 1119.851562 1718916316.1658
MEM 1103.847656 1718916316.2698
MEM 1105.468750 1718916316.3710
MEM 1119.843750 1718916316.4718
MEM 1120.039062 1718916316.5726
MEM 1183.539062 1718916316.6738
MEM 1261.664062 1718916316.7774
MEM 1341.164062 1718916316.8818
MEM 1377.269531 1718916316.9827
MEM 1505.644531 1718916317.0858
MEM 1377.273438 1718916317.1866
MEM 1377.273438 1718916317.2898
MEM 1397.648438 1718916317.3938
MEM 1622.023438 1718916317.4947
MEM 1699.273438 1718916317.5978
MEM 1853.648438 1718916317.7018
MEM 1633.296875 1718916317.8028
MEM 1673.796875 1718916317.9058
MEM 1888.046875 1718916318.0067
MEM 1633.308594 1718916318.1075
MEM 1651.433594 1718916318.2101
MEM 1656.183594 1718916318.3138
MEM 1660.933594 1718916318.4178
MEM 1665.183594 1718916318.5224
MEM 1665.433594 1718916318.6236
MEM 1679.183594 1718916318.7258
MEM 1169.492188 1718916318.8267
