CMDLINE python3 train_vishwamai_model.py
MEM 0.375000 1718984627.4313
MEM 19.222656 1718984627.5321
MEM 36.222656 1718984627.6329
MEM 117.472656 1718984627.7337
MEM 127.722656 1718984627.8346
MEM 204.722656 1718984627.9354
MEM 275.847656 1718984628.0378
MEM 283.035156 1718984628.1387
MEM 286.285156 1718984628.2395
MEM 290.535156 1718984628.3405
MEM 296.410156 1718984628.4413
MEM 304.035156 1718984628.5419
MEM 306.910156 1718984628.6459
MEM 309.285156 1718984628.7499
MEM 313.035156 1718984628.8507
MEM 321.035156 1718984628.9538
MEM 329.535156 1718984629.0547
MEM 341.359375 1718984629.1557
MEM 346.984375 1718984629.2571
MEM 350.984375 1718984629.3578
MEM 359.109375 1718984629.4586
MEM 375.109375 1718984629.5594
MEM 384.234375 1718984629.6603
MEM 426.234375 1718984629.7611
MEM 429.984375 1718984629.8618
MEM 437.609375 1718984629.9626
MEM 446.234375 1718984630.0635
MEM 448.859375 1718984630.1644
MEM 458.734375 1718984630.2652
MEM 462.359375 1718984630.3659
MEM 468.062500 1718984630.4667
MEM 470.312500 1718984630.5698
MEM 475.437500 1718984630.6727
MEM 481.562500 1718984630.7736
MEM 504.687500 1718984630.8744
MEM 521.812500 1718984630.9753
MEM 532.062500 1718984631.0761
MEM 539.562500 1718984631.1769
MEM 549.312500 1718984631.2791
MEM 549.312500 1718984631.3801
MEM 553.312500 1718984631.4809
MEM 557.687500 1718984631.5818
MEM 561.187500 1718984631.6826
MEM 564.437500 1718984631.7834
MEM 564.687500 1718984631.8842
MEM 565.062500 1718984631.9850
MEM 565.312500 1718984632.0859
MEM 565.937500 1718984632.1867
MEM 569.062500 1718984632.2875
MEM 569.062500 1718984632.3883
MEM 603.312500 1718984632.4892
MEM 604.687500 1718984632.5902
MEM 622.937500 1718984632.6910
MEM 623.937500 1718984632.7918
MEM 626.062500 1718984632.8926
MEM 626.437500 1718984632.9934
MEM 626.562500 1718984633.0938
MEM 626.812500 1718984633.1946
MEM 630.187500 1718984633.2955
MEM 633.312500 1718984633.3964
MEM 633.437500 1718984633.4972
MEM 633.562500 1718984633.5978
MEM 633.687500 1718984633.7019
MEM 633.687500 1718984633.8027
MEM 636.937500 1718984633.9036
MEM 639.062500 1718984634.0044
MEM 640.187500 1718984634.1053
MEM 650.429688 1718984634.2064
MEM 660.382812 1718984634.3074
MEM 660.382812 1718984634.4082
MEM 660.507812 1718984634.5090
MEM 660.632812 1718984634.6098
MEM 660.757812 1718984634.7106
MEM 660.882812 1718984634.8115
MEM 660.882812 1718984634.9123
MEM 661.007812 1718984635.0132
MEM 661.007812 1718984635.1138
MEM 661.632812 1718984635.2147
MEM 663.757812 1718984635.3155
MEM 671.007812 1718984635.4164
MEM 673.882812 1718984635.5173
MEM 675.882812 1718984635.6179
MEM 677.507812 1718984635.7188
MEM 679.632812 1718984635.8197
MEM 681.257812 1718984635.9206
MEM 683.132812 1718984636.0214
MEM 683.257812 1718984636.1258
MEM 683.382812 1718984636.2267
MEM 683.507812 1718984636.3275
MEM 683.507812 1718984636.4283
MEM 685.132812 1718984636.5298
MEM 686.507812 1718984636.6338
MEM 688.007812 1718984636.7366
MEM 688.257812 1718984636.8375
MEM 689.882812 1718984636.9383
MEM 689.882812 1718984637.0419
MEM 690.007812 1718984637.1427
MEM 690.007812 1718984637.2436
MEM 690.132812 1718984637.3444
MEM 691.007812 1718984637.4453
MEM 692.382812 1718984637.5461
MEM 693.882812 1718984637.6470
MEM 694.882812 1718984637.7478
MEM 697.632812 1718984637.8487
MEM 698.382812 1718984637.9496
MEM 698.507812 1718984638.0504
MEM 698.632812 1718984638.1513
MEM 699.757812 1718984638.2521
MEM 701.257812 1718984638.3530
MEM 702.882812 1718984638.4539
MEM 703.882812 1718984638.5547
MEM 705.507812 1718984638.6555
MEM 705.507812 1718984638.7564
MEM 705.632812 1718984638.8572
MEM 705.757812 1718984638.9578
MEM 705.757812 1718984639.0586
MEM 706.507812 1718984639.1601
MEM 708.632812 1718984639.2609
MEM 709.757812 1718984639.3618
MEM 712.382812 1718984639.4626
MEM 713.632812 1718984639.5635
MEM 716.257812 1718984639.6643
MEM 718.757812 1718984639.7652
MEM 718.882812 1718984639.8661
MEM 719.007812 1718984639.9669
MEM 719.132812 1718984640.0678
MEM 719.132812 1718984640.1686
MEM 721.132812 1718984640.2695
MEM 722.757812 1718984640.3704
MEM 723.382812 1718984640.4713
MEM 730.757812 1718984640.5721
MEM 730.757812 1718984640.6730
MEM 730.882812 1718984640.7738
MEM 748.203125 1718984640.8746
MEM 748.203125 1718984640.9754
MEM 748.453125 1718984641.0762
MEM 748.453125 1718984641.1771
MEM 748.578125 1718984641.2779
MEM 750.828125 1718984641.3788
MEM 752.203125 1718984641.4818
MEM 752.703125 1718984641.5859
MEM 752.953125 1718984641.6867
MEM 794.578125 1718984641.7898
MEM 845.828125 1718984641.8909
MEM 923.757812 1718984641.9917
MEM 850.351562 1718984642.0925
MEM 868.109375 1718984642.1938
MEM 974.492188 1718984642.2946
MEM 895.992188 1718984642.3978
MEM 958.492188 1718984642.5018
MEM 972.609375 1718984642.6027
MEM 949.609375 1718984642.7035
MEM 1055.109375 1718984642.8058
MEM 1173.109375 1718984642.9100
MEM 1282.734375 1718984643.0139
MEM 1391.359375 1718984643.1178
MEM 1503.734375 1718984643.2218
MEM 1476.710938 1718984643.3226
MEM 1568.605469 1718984643.4258
MEM 1785.355469 1718984643.5269
MEM 1918.726562 1718984643.6277
MEM 1462.738281 1718984643.7285
MEM 1468.613281 1718984643.8298
MEM 1478.613281 1718984643.9308
MEM 1554.988281 1718984644.0339
MEM 1722.238281 1718984644.1378
MEM 1884.113281 1718984644.2419
MEM 1993.988281 1718984644.3427
MEM 2135.863281 1718984644.4458
MEM 2289.113281 1718984644.5500
MEM 2446.113281 1718984644.6538
MEM 2165.042969 1718984644.7546
MEM 1993.984375 1718984644.8554
MEM 2047.984375 1718984644.9580
MEM 2265.609375 1718984645.0618
MEM 2488.609375 1718984645.1659
MEM 1998.671875 1718984645.2667
MEM 2024.796875 1718984645.3699
MEM 2075.296875 1718984645.4738
MEM 2094.046875 1718984645.5778
MEM 2112.296875 1718984645.6818
MEM 2126.671875 1718984645.7844
MEM 2078.730469 1718984645.8852
MEM 2073.500000 1718984645.9898
MEM 2095.250000 1718984646.0938
MEM 2116.750000 1718984646.1978
MEM 2236.875000 1718984646.3019
MEM 1593.757812 1718984646.4027
MEM 898.667969 1718984646.5035
MEM 848.937500 1718984646.6058
MEM 870.812500 1718984646.7098
MEM 892.562500 1718984646.8138
MEM 920.886719 1718984646.9177
MEM 830.761719 1718984647.0185
MEM 830.886719 1718984647.1193
MEM 831.011719 1718984647.2202
MEM 831.011719 1718984647.3210
MEM 831.011719 1718984647.4219
MEM 831.011719 1718984647.5227
MEM 831.011719 1718984647.6236
MEM 843.386719 1718984647.7244
MEM 863.011719 1718984647.8252
MEM 895.011719 1718984647.9258
MEM 767.093750 1718984648.0267
MEM 834.093750 1718984648.1299
MEM 976.343750 1718984648.2339
MEM 863.359375 1718984648.3378
MEM 918.734375 1718984648.4386
MEM 938.761719 1718984648.5400
MEM 947.011719 1718984648.6408
MEM 1050.761719 1718984648.7417
MEM 1040.515625 1718984648.8425
MEM 1106.390625 1718984648.9459
MEM 1212.890625 1718984649.0467
MEM 1322.265625 1718984649.1503
MEM 1423.765625 1718984649.2513
MEM 1505.015625 1718984649.3538
MEM 1590.765625 1718984649.4547
MEM 1568.394531 1718984649.5580
MEM 1780.019531 1718984649.6618
MEM 1987.394531 1718984649.7627
MEM 1496.390625 1718984649.8658
MEM 1506.390625 1718984649.9698
MEM 1607.265625 1718984650.0739
MEM 1830.140625 1718984650.1779
MEM 2039.515625 1718984650.2818
MEM 2191.265625 1718984650.3858
MEM 2345.390625 1718984650.4899
MEM 2500.640625 1718984650.5938
MEM 2033.250000 1718984650.6946
MEM 2176.136719 1718984650.7978
MEM 2396.386719 1718984650.9018
MEM 2307.964844 1718984651.0026
MEM 2088.632812 1718984651.1052
MEM 2106.882812 1718984651.2098
MEM 2125.382812 1718984651.3141
MEM 2143.632812 1718984651.4178
MEM 2118.382812 1718984651.5186
MEM 2100.757812 1718984651.6219
MEM 2122.257812 1718984651.7259
MEM 2143.882812 1718984651.8298
MEM 2241.464844 1718984651.9306
MEM 1539.308594 1718984652.0314
MEM 831.968750 1718984652.1322
MEM 843.816406 1718984652.2338
MEM 866.316406 1718984652.3378
MEM 886.316406 1718984652.4418
MEM 983.066406 1718984652.5458
MEM 831.421875 1718984652.6498
