CMDLINE python3 train_vishwamai_model.py
MEM 0.375000 1718916944.2011
MEM 13.375000 1718916944.3017
MEM 17.640625 1718916944.4025
MEM 22.765625 1718916944.5069
MEM 26.765625 1718916944.6077
MEM 34.765625 1718916944.7088
MEM 37.140625 1718916944.8110
MEM 38.765625 1718916944.9118
MEM 43.765625 1718916945.0125
MEM 63.390625 1718916945.1133
MEM 72.765625 1718916945.2137
MEM 78.390625 1718916945.3146
MEM 84.890625 1718916945.4153
MEM 94.015625 1718916945.5161
MEM 104.265625 1718916945.6169
MEM 117.390625 1718916945.7178
MEM 126.390625 1718916945.8186
MEM 132.390625 1718916945.9194
MEM 139.765625 1718916946.0198
MEM 146.140625 1718916946.1206
MEM 154.015625 1718916946.2214
MEM 161.265625 1718916946.3218
MEM 165.140625 1718916946.4258
MEM 167.390625 1718916946.5299
MEM 169.515625 1718916946.6338
MEM 172.515625 1718916946.7365
MEM 176.515625 1718916946.8385
MEM 180.265625 1718916946.9419
MEM 188.015625 1718916947.0427
MEM 196.765625 1718916947.1435
MEM 206.390625 1718916947.2443
MEM 215.890625 1718916947.3450
MEM 224.515625 1718916947.4458
MEM 232.640625 1718916947.5466
MEM 239.765625 1718916947.6473
MEM 246.390625 1718916947.7481
MEM 256.890625 1718916947.8489
MEM 263.890625 1718916947.9497
MEM 267.640625 1718916948.0505
MEM 273.058594 1718916948.1513
MEM 276.058594 1718916948.2521
MEM 280.308594 1718916948.3529
MEM 283.683594 1718916948.4537
MEM 287.058594 1718916948.5545
MEM 290.183594 1718916948.6553
MEM 294.308594 1718916948.7561
MEM 297.058594 1718916948.8569
MEM 300.058594 1718916948.9577
MEM 302.183594 1718916949.0585
MEM 304.683594 1718916949.1593
MEM 308.933594 1718916949.2600
MEM 314.058594 1718916949.3609
MEM 317.683594 1718916949.4617
MEM 324.058594 1718916949.5625
MEM 328.328125 1718916949.6633
MEM 332.703125 1718916949.7640
MEM 335.578125 1718916949.8648
MEM 337.703125 1718916949.9664
MEM 340.328125 1718916950.0672
MEM 344.578125 1718916950.1680
MEM 347.453125 1718916950.2688
MEM 351.328125 1718916950.3696
MEM 356.703125 1718916950.4706
MEM 360.203125 1718916950.5714
MEM 363.453125 1718916950.6721
MEM 369.203125 1718916950.7729
MEM 372.328125 1718916950.8737
MEM 373.953125 1718916950.9745
MEM 376.328125 1718916951.0753
