CMDLINE python3 scripts/train.py
MEM 2.125000 1719560794.5189
MEM 11.000000 1719560794.6227
MEM 14.375000 1719560794.7235
MEM 17.875000 1719560794.8265
MEM 20.500000 1719560794.9282
MEM 22.460938 1719560795.0291
MEM 24.519531 1719560795.1305
MEM 25.519531 1719560795.2326
MEM 30.644531 1719560795.3335
MEM 33.144531 1719560795.4371
MEM 42.144531 1719560795.5386
MEM 45.769531 1719560795.6425
MEM 48.144531 1719560795.7461
MEM 50.894531 1719560795.8473
MEM 53.894531 1719560795.9488
MEM 56.269531 1719560796.0501
MEM 60.769531 1719560796.1523
MEM 67.644531 1719560796.2532
MEM 71.394531 1719560796.3541
MEM 74.144531 1719560796.4546
MEM 75.644531 1719560796.5554
MEM 80.320312 1719560796.6575
MEM 81.695312 1719560796.7666
MEM 83.695312 1719560796.8692
MEM 86.570312 1719560796.9701
MEM 88.695312 1719560797.0768
MEM 91.695312 1719560797.1793
MEM 93.320312 1719560797.2802
MEM 95.820312 1719560797.3865
MEM 97.820312 1719560797.4875
MEM 98.320312 1719560797.5884
MEM 99.070312 1719560797.6893
MEM 100.695312 1719560797.7915
MEM 101.695312 1719560797.8925
MEM 102.195312 1719560797.9934
MEM 102.695312 1719560798.0988
MEM 103.195312 1719560798.2025
MEM 104.820312 1719560798.3066
MEM 106.195312 1719560798.4106
MEM 107.070312 1719560798.5116
MEM 109.320312 1719560798.6131
MEM 109.695312 1719560798.7145
MEM 111.929688 1719560798.8157
MEM 113.054688 1719560798.9186
MEM 113.804688 1719560799.0200
MEM 114.679688 1719560799.1209
MEM 115.054688 1719560799.2217
MEM 115.554688 1719560799.3227
MEM 116.429688 1719560799.4292
MEM 116.804688 1719560799.5301
MEM 117.304688 1719560799.6307
MEM 117.429688 1719560799.7347
MEM 120.804688 1719560799.8356
MEM 128.429688 1719560799.9389
MEM 132.304688 1719560800.0398
MEM 137.679688 1719560800.1426
MEM 139.804688 1719560800.2465
MEM 142.679688 1719560800.3506
MEM 146.179688 1719560800.4517
MEM 148.054688 1719560800.5525
MEM 151.304688 1719560800.6534
MEM 154.554688 1719560800.7544
MEM 157.304688 1719560800.8554
MEM 161.929688 1719560800.9563
MEM 165.429688 1719560801.0571
MEM 168.804688 1719560801.1580
MEM 172.304688 1719560801.2586
MEM 174.554688 1719560801.3595
MEM 178.304688 1719560801.4603
MEM 180.304688 1719560801.5612
MEM 181.054688 1719560801.6620
MEM 183.054688 1719560801.7625
