CMDLINE python3 scripts/train.py
MEM 2376.542969 1719570637.3087
MEM 2376.542969 1719570637.4106
MEM 2319.660156 1719570637.5146
MEM 2352.671875 1719570637.6226
MEM 2352.671875 1719570637.7266
MEM 2352.671875 1719570637.8306
MEM 2352.671875 1719570637.9351
MEM 2352.671875 1719570638.0386
MEM 2352.671875 1719570638.1426
MEM 2352.671875 1719570638.2435
MEM 2368.671875 1719570638.3445
MEM 2420.171875 1719570638.4466
MEM 2493.671875 1719570638.5475
MEM 2515.335938 1719570638.6506
MEM 2497.820312 1719570638.7544
MEM 2687.195312 1719570638.8586
MEM 2692.695312 1719570638.9626
MEM 2510.824219 1719570639.0678
MEM 2539.324219 1719570639.1691
MEM 2564.074219 1719570639.2700
MEM 2589.449219 1719570639.3714
MEM 2616.449219 1719570639.4730
MEM 2627.074219 1719570639.5746
MEM 2630.824219 1719570639.6786
MEM 2533.625000 1719570639.7794
MEM 2433.394531 1719570639.8803
MEM 2497.519531 1719570639.9826
MEM 2497.519531 1719570640.0861
MEM 2517.644531 1719570640.1874
MEM 2538.371094 1719570640.2884
MEM 2457.722656 1719570640.3906
MEM 2468.597656 1719570640.4986
MEM 2468.597656 1719570640.6033
MEM 2468.597656 1719570640.7066
MEM 2468.597656 1719570640.8105
MEM 2468.597656 1719570640.9114
MEM 2468.597656 1719570641.0146
MEM 2468.597656 1719570641.1186
MEM 2468.597656 1719570641.2226
MEM 2479.097656 1719570641.3266
MEM 2523.636719 1719570641.4306
MEM 2468.566406 1719570641.5314
MEM 2596.566406 1719570641.6346
MEM 2596.566406 1719570641.7382
MEM 2611.941406 1719570641.8387
MEM 2585.187500 1719570641.9397
MEM 2532.554688 1719570642.0407
MEM 2532.554688 1719570642.1425
MEM 2532.554688 1719570642.2465
MEM 2532.554688 1719570642.3506
MEM 2532.554688 1719570642.4546
MEM 2532.554688 1719570642.5555
MEM 2532.554688 1719570642.6587
MEM 2532.554688 1719570642.7626
MEM 2532.554688 1719570642.8666
MEM 2532.554688 1719570642.9688
MEM 2500.664062 1719570643.0694
MEM 2557.664062 1719570643.1704
MEM 2596.664062 1719570643.2746
MEM 2603.664062 1719570643.3786
MEM 2596.656250 1719570643.4794
MEM 2548.660156 1719570643.5826
MEM 2548.660156 1719570643.6854
MEM 2548.660156 1719570643.7867
MEM 2548.660156 1719570643.8906
MEM 2548.660156 1719570643.9946
MEM 2548.660156 1719570644.0957
MEM 2548.660156 1719570644.1986
MEM 2556.660156 1719570644.3004
MEM 2617.410156 1719570644.4026
MEM 2682.160156 1719570644.5036
MEM 2774.718750 1719570644.6066
MEM 2774.750000 1719570644.7075
MEM 2808.363281 1719570644.8093
MEM 2940.488281 1719570644.9099
MEM 2827.015625 1719570645.0106
MEM 2712.019531 1719570645.1150
MEM 2743.394531 1719570645.2190
MEM 2778.519531 1719570645.3229
MEM 2809.394531 1719570645.4242
MEM 2815.894531 1719570645.5266
MEM 2819.894531 1719570645.6306
MEM 2556.765625 1719570645.7328
MEM 2682.765625 1719570645.8337
MEM 2684.640625 1719570645.9346
MEM 2696.765625 1719570646.0386
MEM 2639.679688 1719570646.1407
MEM 2632.402344 1719570646.2425
MEM 2652.652344 1719570646.3466
MEM 2652.652344 1719570646.4505
MEM 2652.652344 1719570646.5545
MEM 2652.652344 1719570646.6586
MEM 2652.652344 1719570646.7625
MEM 2652.652344 1719570646.8666
MEM 2652.652344 1719570646.9705
MEM 2652.652344 1719570647.0745
MEM 2652.652344 1719570647.1754
MEM 2698.300781 1719570647.2786
MEM 2701.683594 1719570647.3826
MEM 2780.675781 1719570647.4866
MEM 2780.675781 1719570647.5874
MEM 2792.550781 1719570647.6906
MEM 2748.667969 1719570647.7947
MEM 2716.582031 1719570647.8985
MEM 2716.582031 1719570648.0019
MEM 2716.582031 1719570648.1025
MEM 2716.582031 1719570648.2063
MEM 2716.582031 1719570648.3107
MEM 2716.582031 1719570648.4115
MEM 2716.582031 1719570648.5146
MEM 2716.582031 1719570648.6208
MEM 2716.582031 1719570648.7226
MEM 2716.582031 1719570648.8234
MEM 2732.328125 1719570648.9265
MEM 2780.578125 1719570649.0280
MEM 2789.578125 1719570649.1306
MEM 2806.183594 1719570649.2346
MEM 2732.574219 1719570649.3387
MEM 2732.574219 1719570649.4395
MEM 2732.574219 1719570649.5426
MEM 2732.574219 1719570649.6467
MEM 2732.574219 1719570649.7506
MEM 2732.574219 1719570649.8547
MEM 2732.574219 1719570649.9586
MEM 2748.574219 1719570650.0598
MEM 2781.949219 1719570650.1607
MEM 2857.949219 1719570650.2616
MEM 2966.738281 1719570650.3624
MEM 2876.789062 1719570650.4665
MEM 3035.539062 1719570650.5706
MEM 3006.007812 1719570650.6714
MEM 2878.503906 1719570650.7750
MEM 2916.503906 1719570650.8795
MEM 2953.253906 1719570650.9830
MEM 2990.378906 1719570651.0870
MEM 3006.003906 1719570651.1879
MEM 3010.003906 1719570651.2895
MEM 2918.679688 1719570651.3904
MEM 2819.179688 1719570651.4913
MEM 2876.554688 1719570651.5931
MEM 2877.179688 1719570651.6945
MEM 2898.304688 1719570651.7986
MEM 2926.062500 1719570651.9012
MEM 2837.566406 1719570652.0018
MEM 2844.566406 1719570652.1027
MEM 2844.566406 1719570652.2065
MEM 2844.566406 1719570652.3108
MEM 2844.566406 1719570652.4146
MEM 2844.566406 1719570652.5187
MEM 2844.566406 1719570652.6226
MEM 2844.566406 1719570652.7266
MEM 2844.566406 1719570652.8306
MEM 2844.566406 1719570652.9345
MEM 2872.566406 1719570653.0387
MEM 2896.683594 1719570653.1396
MEM 2844.687500 1719570653.2405
MEM 2972.562500 1719570653.3414
MEM 2972.562500 1719570653.4425
MEM 2989.437500 1719570653.5467
MEM 2970.253906 1719570653.6503
MEM 2908.652344 1719570653.7547
MEM 2908.652344 1719570653.8586
MEM 2908.652344 1719570653.9626
MEM 2908.652344 1719570654.0665
MEM 2908.652344 1719570654.1689
MEM 2908.652344 1719570654.2698
MEM 2908.652344 1719570654.3707
MEM 2908.652344 1719570654.4746
MEM 2908.652344 1719570654.5786
MEM 2908.652344 1719570654.6795
MEM 2936.023438 1719570654.7804
MEM 2972.648438 1719570654.8826
MEM 2978.773438 1719570654.9849
MEM 2967.742188 1719570655.0869
MEM 2924.699219 1719570655.1906
MEM 2924.699219 1719570655.2911
MEM 2924.699219 1719570655.3945
MEM 2924.699219 1719570655.4970
MEM 2924.699219 1719570655.6002
MEM 2924.699219 1719570655.7025
MEM 2924.699219 1719570655.8066
MEM 2940.699219 1719570655.9080
MEM 2980.699219 1719570656.0089
MEM 3052.074219 1719570656.1105
MEM 3110.785156 1719570656.2114
MEM 3068.777344 1719570656.3146
MEM 3231.902344 1719570656.4186
MEM 3227.148438 1719570656.5226
MEM 3075.394531 1719570656.6266
MEM 3110.894531 1719570656.7310
MEM 3148.519531 1719570656.8350
MEM 3185.394531 1719570656.9380
MEM 3198.519531 1719570657.0426
MEM 3202.269531 1719570657.1466
MEM 3054.679688 1719570657.2475
MEM 3023.929688 1719570657.3484
MEM 3068.554688 1719570657.4493
MEM 3071.054688 1719570657.5506
MEM 3092.804688 1719570657.6520
MEM 3104.628906 1719570657.7528
MEM 3032.152344 1719570657.8546
MEM 3039.152344 1719570657.9587
MEM 3039.152344 1719570658.0626
MEM 3039.152344 1719570658.1681
MEM 3039.152344 1719570658.2707
MEM 3039.152344 1719570658.3747
MEM 3039.152344 1719570658.4786
MEM 3039.152344 1719570658.5825
MEM 3039.152344 1719570658.6866
MEM 3072.402344 1719570658.7876
MEM 3100.289062 1719570658.8884
MEM 3055.859375 1719570658.9906
MEM 3167.234375 1719570659.0946
MEM 3167.234375 1719570659.1986
MEM 3185.984375 1719570659.3014
MEM 3188.066406 1719570659.4027
MEM 3103.222656 1719570659.5066
MEM 3103.222656 1719570659.6105
MEM 3103.222656 1719570659.7145
MEM 3103.222656 1719570659.8181
MEM 3103.222656 1719570659.9187
MEM 3103.222656 1719570660.0228
MEM 3103.222656 1719570660.1266
MEM 3103.222656 1719570660.2306
MEM 3103.222656 1719570660.3346
MEM 3103.222656 1719570660.4361
MEM 3071.218750 1719570660.5386
MEM 3112.593750 1719570660.6396
MEM 3149.468750 1719570660.7426
MEM 3167.218750 1719570660.8466
MEM 3167.218750 1719570660.9506
MEM 3167.218750 1719570661.0547
MEM 3177.468750 1719570661.1587
MEM 3190.843750 1719570661.2626
MEM 3177.347656 1719570661.3634
MEM 3119.222656 1719570661.4665
MEM 3119.222656 1719570661.5705
MEM 3119.222656 1719570661.6755
MEM 3119.222656 1719570661.7763
MEM 3119.222656 1719570661.8771
MEM 3119.222656 1719570661.9780
MEM 3119.222656 1719570662.0786
MEM 3119.222656 1719570662.1814
MEM 3119.222656 1719570662.2823
MEM 3119.222656 1719570662.3866
MEM 3119.222656 1719570662.4906
MEM 3119.222656 1719570662.5925
MEM 3119.222656 1719570662.6935
MEM 3135.222656 1719570662.7945
MEM 3192.597656 1719570662.8990
MEM 3251.222656 1719570662.9999
MEM 3365.847656 1719570663.1007
MEM 3263.304688 1719570663.2014
MEM 3321.554688 1719570663.3066
MEM 3377.804688 1719570663.4106
MEM 3263.273438 1719570663.5145
MEM 3263.273438 1719570663.6155
MEM 3362.648438 1719570663.7179
MEM 3418.148438 1719570663.8187
MEM 3391.332031 1719570663.9226
MEM 3264.546875 1719570664.0270
MEM 3298.296875 1719570664.1300
MEM 3330.421875 1719570664.2352
MEM 3367.046875 1719570664.3389
MEM 3391.671875 1719570664.4398
MEM 3395.421875 1719570664.5426
MEM 3399.171875 1719570664.6435
MEM 3144.164062 1719570664.7466
MEM 3263.164062 1719570664.8480
MEM 3263.164062 1719570664.9490
MEM 3279.664062 1719570665.0506
MEM 3260.328125 1719570665.1544
MEM 3210.742188 1719570665.2586
MEM 3231.242188 1719570665.3618
MEM 3231.242188 1719570665.4626
MEM 3231.242188 1719570665.5706
MEM 3231.242188 1719570665.6746
MEM 3231.242188 1719570665.7786
MEM 3231.242188 1719570665.8827
MEM 3231.242188 1719570665.9865
MEM 3231.242188 1719570666.0907
MEM 3231.242188 1719570666.1917
MEM 3231.238281 1719570666.2928
MEM 3292.253906 1719570666.3936
MEM 3297.332031 1719570666.4945
MEM 3359.207031 1719570666.5959
MEM 3359.207031 1719570666.6986
MEM 3383.207031 1719570666.8026
MEM 3422.152344 1719570666.9034
MEM 3295.250000 1719570667.0042
MEM 3295.250000 1719570667.1066
MEM 3295.250000 1719570667.2106
MEM 3295.250000 1719570667.3146
MEM 3295.250000 1719570667.4186
MEM 3295.250000 1719570667.5227
MEM 3295.250000 1719570667.6265
MEM 3295.250000 1719570667.7305
MEM 3295.250000 1719570667.8346
MEM 3263.246094 1719570667.9363
MEM 3359.246094 1719570668.0386
MEM 3359.246094 1719570668.1397
MEM 3377.371094 1719570668.2405
MEM 3311.242188 1719570668.3413
MEM 3311.242188 1719570668.4425
MEM 3311.242188 1719570668.5466
MEM 3311.242188 1719570668.6506
MEM 3311.242188 1719570668.7547
MEM 3311.242188 1719570668.8586
MEM 3311.242188 1719570668.9627
MEM 3311.242188 1719570669.0636
MEM 3343.242188 1719570669.1666
MEM 3424.242188 1719570669.2706
MEM 3573.117188 1719570669.3747
MEM 3507.480469 1719570669.4755
MEM 3586.929688 1719570669.5786
MEM 3671.554688 1719570669.6802
MEM 3583.238281 1719570669.7811
MEM 3471.285156 1719570669.8820
MEM 3489.160156 1719570669.9852
MEM 3524.535156 1719570670.0864
MEM 3557.535156 1719570670.1894
MEM 3583.660156 1719570670.2904
MEM 3587.660156 1719570670.3946
MEM 3590.910156 1719570670.4986
MEM 3327.277344 1719570670.6002
MEM 3436.027344 1719570670.7015
MEM 3455.152344 1719570670.8026
MEM 3462.277344 1719570670.9067
MEM 3481.292969 1719570671.0075
MEM 3391.968750 1719570671.1085
MEM 3423.218750 1719570671.2105
MEM 3423.218750 1719570671.3146
MEM 3423.218750 1719570671.4186
MEM 3423.218750 1719570671.5226
MEM 3423.218750 1719570671.6265
MEM 3423.218750 1719570671.7305
MEM 3423.218750 1719570671.8345
MEM 3423.218750 1719570671.9385
MEM 3423.218750 1719570672.0426
MEM 3470.593750 1719570672.1466
MEM 3481.937500 1719570672.2506
MEM 3465.062500 1719570672.3515
MEM 3473.062500 1719570672.4524
MEM 3454.933594 1719570672.5547
MEM 3551.183594 1719570672.6556
MEM 3551.183594 1719570672.7586
MEM 3561.183594 1719570672.8626
MEM 3501.257812 1719570672.9634
MEM 3487.187500 1719570673.0665
MEM 3487.187500 1719570673.1706
MEM 3487.187500 1719570673.2746
MEM 3487.187500 1719570673.3785
MEM 3487.187500 1719570673.4825
MEM 3487.187500 1719570673.5866
MEM 3487.187500 1719570673.6945
MEM 3487.187500 1719570673.7987
MEM 3487.187500 1719570673.9025
MEM 3487.187500 1719570674.0066
MEM 3476.808594 1719570674.1092
MEM 3551.183594 1719570674.2103
MEM 3557.308594 1719570674.3145
MEM 3547.761719 1719570674.4175
